Name,Firm,Price,Volume,Count
阿托伐他汀钙片,浙江新东港药业股份有限公司,42.74,10mg,14.0
氨甲环酸注射液,山西普德药业股份有限公司,31.6,5ml,1
八正胶囊,四川光大制药有限公司,35.77,,12
百合固金颗粒,迪沙药业集团有限公司,28.67,9g,15.0
百蕊片,香港九华华源集团滁州药业有限公司,25,0.4g,24.0
倍他米松磷酸钠注射液,遂成药业股份有限公司,15.62,1ml,1
苯磺酸氨氯地平片,北京红林制药有限公司,7.12,5mg,28.0
苯磺酸左旋氨氯地平片,迪沙药业集团有限公司,39.81,2.5mg,24.0
苯磺酸左旋氨氯地平片,苏州东瑞制药有限公司,14.62,2.5mg,14.0
苯磺酸左旋氨氯地平片,苏州东瑞制药有限公司,28.51,2.5mg,28.0
吡拉西坦氯化钠注射液,山东威高药业股份有限公司,21.65,50ml,1
冰栀伤痛气雾剂,贵州景诚制药有限公司,43.9,100g,1
玻璃酸钠滴眼液,参天制药株式会社（参天制药（中国）有限公司分装）,4.8,0.4ml,1
玻璃酸钠滴眼液,千寿制药株式会社（千寿制药株式会社 福崎工厂）Senju Pharmaceutical Co.，Ltd.(Senju Pharmaceutical Co.，Ltd. Pukusaki Plant),22.89,5mg,1
玻璃酸钠注射液,上海景峰制药有限公司,139.04,2.5ml,1
参麦注射液,正大青春宝药业有限公司,13.25,10ml,1
肠泰合剂,吉林省力胜制药有限公司,49.81,100ml,1
肠泰合剂,吉林省力胜制药有限公司,123,250ml,1
达肝素钠注射液,南京健友生化制药股份有限公司,35.2,0.2ml,1
大蒜素软胶囊,新疆华世丹药业有限公司,46.95,400mg,20.0
单硝酸异山梨酯缓释胶囊(Ⅰ),广东隆信制药有限公司,35.91,50mg,20.0
单硝酸异山梨酯缓释片,乐普药业股份有限公司,22.86,40mg,24.0
多巴丝肼胶囊,上海益生源药业有限公司,37.89,125mg,40.0
厄贝沙坦分散片,潍坊中狮制药有限公司,24.06,75mg,15.0
厄贝沙坦分散片,潍坊中狮制药有限公司,40.75,0.15g,14.0
厄贝沙坦分散片,潍坊中狮制药有限公司,29.47,0.15g,10.0
厄贝沙坦氢氯噻嗪片,浙江华圣爱诺药业有限公司,28.91,150mg,12.0
厄贝沙坦氢氯噻嗪片,浙江华圣爱诺药业有限公司,33.54,150mg,14.0
恩替卡韦分散片,安徽贝克生物制药有限公司,185.37,0.5mg,14.0
恩替卡韦分散片,安徽贝克生物制药有限公司,92.71,0.5mg,7.0
非洛地平缓释片(Ⅱ),合肥立方制药股份有限公司,38.34,5mg,20.0
风湿骨痛片,安徽美欣制药有限公司,32.45,0.36g,48.0
伏格列波糖胶囊,杭州中美华东制药有限公司,36.92,0.2mg,30.0
氟康唑片,乐普药业股份有限公司,11.65,100mg,6.0
氟康唑片,乐普药业股份有限公司,6.09,50mg,6.0
复方氯化钠注射液,山东威高药业股份有限公司,5.71,500ml,1
复方乳酸钠山梨醇注射液,浙江济民制药股份有限公司,45.66,500ml,1
复方愈酚喷托那敏糖浆,西南药业股份有限公司,22.35,100ml,1
复方愈酚喷托那敏糖浆,西南药业股份有限公司,32.53,150ml,1
富马酸酮替芬分散片,山东绿因药业有限公司,18.55,1mg,24.0
甘露醇注射液,山东威高药业股份有限公司,5.26,250ml,1
甘露醇注射液,上海百特医疗用品有限公司,8.39,250ml,250.0
甘露醇注射液,上海百特医疗用品有限公司,7.64,100ml,100.0
格列齐特缓释片,LES LABORATOIRES SERVIER INDUSTRIE （施维雅天津制药有限公司分装）,39.95,60mg,15.0
宫瘤宁胶囊,陕西白云制药有限公司,36.05,0.36g,45.0
红花逍遥胶囊,云南楚雄天利药业有限公司,45.25,0.4g,36.0
琥珀酸舒马普坦片,先声药业有限公司,34.07,25mg,6.0
肌苷葡萄糖注射液,江苏晨牌药业集团股份有限公司,12.61,100ml,1
加替沙星分散片,峨眉山通惠制药有限公司,20.73,0.1g,12.0
加替沙星分散片,峨眉山通惠制药有限公司,30.45,0.1g,16.0
加替沙星分散片,峨眉山通惠制药有限公司,41.2,0.1g,24.0
加替沙星分散片,峨眉山通惠制药有限公司,16.04,0.1g,8.0
甲钴胺胶囊,台湾泛生制药厂股份有限公司,39.51,0.5mg,30.0
甲磺酸二氢麦角碱缓释片,宝利化（南京）制药有限公司,48.86,2.5mg,25.0
甲硝唑氯化钠注射液,上海百特医疗用品有限公司,7.52,100ml,1
金刚藤丸,怀化正好制药有限公司,35.88,,
金刚藤丸,怀化正好制药有限公司,46.52,,
金荞麦胶囊,多多药业有限公司,35.73,22g,60.0
聚苯乙烯磺酸钙散,青岛国海生物制药有限公司,77.5,10g,3.0
卡介菌多糖核酸注射液,浙江万晟药业有限公司,5.36,,1
卡培他滨片,齐鲁制药有限公司,77.37,0.15g,10.0
克拉霉素分散片,海润（秦皇岛）药业有限公司,23.03,125mg,24.0
克拉霉素片,杭州中美华东制药有限公司,9.3,0.25g,6.0
克林霉素磷酸酯片,湖南九典制药股份有限公司,20.37,150mg,24.0
克林霉素磷酸酯注射液,成都普什制药有限公司,26.16,4ml,1
克霉唑阴道片,迪沙药业集团有限公司,13.04,0.5g,2.0
克霉唑阴道片,迪沙药业集团有限公司,19.27,0.5g,3.0
兰索拉唑肠溶胶囊,北京红林制药有限公司,33.59,15mg,14.0
兰索拉唑肠溶胶囊,北京红林制药有限公司,24.3,15mg,10.0
兰索拉唑肠溶胶囊,北京红林制药有限公司,41.3,30mg,10.0
兰索拉唑肠溶片,乐普药业股份有限公司,29.47,15mg,14.0
兰索拉唑肠溶片,乐普药业股份有限公司,15.11,15mg,7.0
兰索拉唑片,成都倍特药业有限公司,31.7,15mg,14.0
乐脉丸,贵州景峰注射剂有限公司,27.67,1.5g,9.0
乐脉丸,康美保宁（四川）制药有限公司,28.5,1.2g,12.0
雷贝拉唑钠肠溶片,成都迪康药业有限公司,66.2,20mg,10.0
利奈唑胺葡萄糖注射液,江苏豪森药业股份有限公司,92.17,100ml,1
硫酸氢氯吡格雷片,深圳信立泰药业股份有限公司,68.55,25mg,20.0
硫酸庆大霉素氟米龙滴眼液,永光制药有限公司,29.03,5ml,1
硫糖铝口服混悬液,上海旭东海普药业有限公司,13.71,5ml,1
洛索洛芬钠胶囊,山东威高药业股份有限公司,10.33,60mg,12.0
马来酸氨氯地平分散片,江苏万高药业有限公司,30.8,5mg,14.0
马来酸左旋氨氯地平分散片,石药集团欧意药业有限公司,35.54,2.5mg,14.0
马尿酸乌洛托品片,湖南明瑞制药有限公司,62.8,0.5g,12.0
明目蒺藜丸,石药集团河北永丰药业有限公司,36.68,,10.0
莫匹罗星软膏,湖北人福成田药业有限公司,21.36,10g,1
那曲肝素钙注射液,南京健友生化制药股份有限公司,52.57,0.4ml,1
脑安颗粒,河南省百泉制药有限公司,43.29,1.2g,10.0
脑安颗粒,河南省百泉制药有限公司,24.87,1.2g,6.0
脑血栓片,天津同仁堂集团股份有限公司,48.45,0.3g,60.0
尼麦角林片,昆山龙灯瑞迪制药有限公司,28.42,5mg,36.0
尼麦角林片,昆山龙灯瑞迪制药有限公司,47.23,10mg,36.0
牛黄解毒片,湖南德康制药股份有限公司,38.54,,12
泮托拉唑钠肠溶胶囊,福州闽海药业有限公司,31.18,40mg,7.0
泮托拉唑钠肠溶胶囊,杭州中美华东制药有限公司,45.22,20mg,14.0
泮托拉唑钠肠溶胶囊,上海爱的发制药有限公司,42.22,40mg,10.0
蒲参胶囊,江苏苏中药业集团股份有限公司,28.26,0.25g,48.0
强肝片,湖南安邦制药有限公司,55.71,0.5g,60.0
羟乙基淀粉200/0.5氯化钠注射液,成都倍特药业有限公司,72,500ml,1
氢化泼尼松注射液,西安利君制药有限责任公司,20.9,2ml,1
祛风止痛丸,吉林吉春制药股份有限公司,41.14,1.1g,200.0
全天麻胶囊,贵州益康制药有限公司,27.11,0.5g,60.0
乳果糖口服溶液,湖南科伦制药有限公司,29.69,100ml,1
乳酸钠林格注射液,山东威高药业股份有限公司,5.48,500ml,1
乳酸左氧氟沙星氯化钠注射液,山东华鲁制药有限公司,4.85,200mg,1
乳酸左氧氟沙星氯化钠注射液,浙江医药股份有限公司新昌制药厂,30.05,100ml,1
瑞格列奈片,北京万生药业有限责任公司,18.22,0.5mg,30.0
瑞格列奈片,北京万生药业有限责任公司,32.42,1.0mg,30.0
瑞舒伐他汀钙胶囊,海南通用三洋药业有限公司,81.61,10mg,14.0
瑞舒伐他汀钙胶囊,海南通用三洋药业有限公司,41.85,10mg,7.0
肾康宁胶囊,江西普正制药有限公司,40.56,0.35g,24.0
石榴健胃丸,西藏雄巴拉曲神水藏药有限公司,70.78,0.6g,48.0
双黄连片,哈尔滨圣泰生物制药有限公司,17.1,0.53g,48.0
双氯芬酸钠肠溶胶囊,永信药品工业（昆山）有限公司,20,50mg,20.0
