"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID"
"苯磺顺阿曲库铵注射液","江苏恒瑞医药股份有限公司",158,"5ml:10mg",10,15.8,2021,"吉林省、天津市、安徽省、广东省、江苏省、河南省、湖北省、甘肃省、贵州省、辽宁省、青海省",236,442
"比卡鲁胺胶囊","山西振东制药股份有限公司",220,"50mg",30,7.33333333333333,2021,"四川省、山西省、江西省、海南省、湖南省、甘肃省、辽宁省",116,321
"比卡鲁胺片","SunPharmaceuticalIndustriesLimited",195.16,"50mg",28,6.97,2021,"上海市、云南省、北京市、吉林省、天津市、河南省、福建省、西藏自治区",115,58
"比卡鲁胺片","浙江海正药业股份有限公司",193,"50mg",28,6.89285714285714,2021,"山东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、浙江省、湖北省、贵州省、重庆市、青海省",115,519
"比卡鲁胺片","上海朝晖药业有限公司",162.73,"50mg",14,11.6235714285714,2021,"内蒙古自治区、宁夏回族自治区、安徽省、广东省、河北省、陕西省、黑龙江省",115,94
"单硝酸异山梨酯缓释胶囊","合肥合源药业有限公司",25.2,"50mg",24,1.05,2021,"吉林省、四川省、山东省、广西壮族自治区、福建省、陕西省",23,206
"单硝酸异山梨酯缓释胶囊","珠海润都制药股份有限公司",24.6,"40mg",30,0.82,2021,"上海市、内蒙古自治区、广东省、河南省、海南省、湖南省、贵州省",23,611
"单硝酸异山梨酯缓释片","乐普药业股份有限公司",19.18,"40mg",20,0.959,2021,"云南省、安徽省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、青海省",22,120
"单硝酸异山梨酯缓释片","鲁南贝特制药有限公司",33.25,"40mg",36,0.923611111111111,2021,"北京市、天津市、宁夏回族自治区、河北省、浙江省、重庆市",22,707
"单硝酸异山梨酯缓释片","齐鲁制药有限公司",23.03,"40mg",24,0.959583333333333,2021,"山西省、湖北省、甘肃省、西藏自治区、辽宁省、黑龙江省",22,712
"碘海醇注射液","通用电气药业（上海）有限公司",845.3,"100ml:35g（I）",10,84.53,2021,"云南省、四川省、天津市、宁夏回族自治区、江苏省、河南省、浙江省、湖北省、贵州省、陕西省、青海省",214,673
"碘海醇注射液","上海司太立制药有限公司",880.5,"100ml:30g（I）",10,88.05,2021,"四川省、山西省、河北省、河南省、海南省、贵州省、辽宁省、陕西省、青海省、黑龙江省",214,84
"碘海醇注射液","通用电气药业（上海）有限公司",775.3,"100ml:30g（I）",10,77.53,2021,"上海市、宁夏回族自治区、安徽省、山东省、广东省、江西省、浙江省、湖南省、甘肃省、福建省、重庆市",214,673
"碘海醇注射液","北京北陆药业股份有限公司",3150,"100ml:35g（I）",30,105,2021,"上海市、内蒙古自治区、北京市、吉林省、广西壮族自治区、江西省、甘肃省、西藏自治区、辽宁省、重庆市",214,146
"碘海醇注射液","上海司太立制药有限公司",920.5,"100ml:35g（I）",10,92.05,2021,"安徽省、山东省、山西省、广东省、新疆生产建设兵团、新疆维吾尔自治区、河北省、海南省、湖南省、福建省、黑龙江省",214,84
"碘海醇注射液","扬子江药业集团有限公司",3195,"100ml:30g（I）",30,106.5,2021,"云南省、内蒙古自治区、北京市、吉林省、天津市、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、湖北省、西藏自治区",214,390
"碘克沙醇注射液","上海司太立制药有限公司",1850.1,"100ml:32g（I）",10,185.01,2021,"云南省、新疆生产建设兵团、新疆维吾尔自治区、江西省、浙江省、湖北省、福建省、重庆市",213,84
"碘克沙醇注射液","南京正大天晴制药有限公司",193.77,"100ml:32g（I）",1,193.77,2021,"内蒙古自治区、宁夏回族自治区、安徽省、广东省、广西壮族自治区、河北省、陕西省",213,189
"碘克沙醇注射液","GEHealthcareAS（GEHealthcareIrelandLimited）（通用电气药业（上海）有限公司分包装）",179.03,"100ml:32g（I）",1,179.03,2021,"北京市、吉林省、山东省、山西省、海南省、西藏自治区、辽宁省、黑龙江省",213,24
"碘克沙醇注射液","扬子江药业集团有限公司",174.8,"100ml:32g（I）",1,174.8,2021,"上海市、四川省、天津市、江苏省、河南省、湖南省、甘肃省、贵州省、青海省",213,390
"多西他赛注射液","四川汇宇制药股份有限公司",58.8,"20mg",1,58.8,2021,"上海市、吉林省、广西壮族自治区、辽宁省、青海省",51,230
"多西他赛注射液","扬子江药业集团有限公司",30,"0.5ml:20mg,另附1支溶剂1.5ml",1,30,2021,"云南省、山东省、江西省、浙江省、海南省",51,390
"多西他赛注射液","正大天晴药业集团股份有限公司",29.8,"20mg",1,29.8,2021,"天津市、广东省、河北省、福建省、黑龙江省",51,413
"多西他赛注射液","江苏奥赛康药业有限公司",325,"20mg",5,65,2021,"内蒙古自治区、新疆生产建设兵团、新疆维吾尔自治区、湖北省、西藏自治区、陕西省",51,436
"多西他赛注射液","齐鲁制药有限公司",92,"1ml:40mg",1,92,2021,"北京市、四川省、宁夏回族自治区、安徽省、山西省",51,712
"多西他赛注射液","江苏恒瑞医药股份有限公司",22.6,"20mg",1,22.6,2021,"江苏省、河南省、湖南省、甘肃省、贵州省、重庆市",51,442
"氟康唑氯化钠注射液","扬子江药业集团有限公司",37,"100ml:氟康唑0.2g与氯化钠0.9g",1,37,2021,"云南省、北京市、四川省、安徽省、新疆生产建设兵团、新疆维吾尔自治区、河南省、湖北省、甘肃省、重庆市、陕西省、青海省",117,390
"氟康唑氯化钠注射液","石家庄四药有限公司",3592,"100ml:氟康唑0.2g与氯化钠0.9g",80,44.9,2021,"内蒙古自治区、天津市、宁夏回族自治区、山东省、广东省、广西壮族自治区、江苏省、河北省、福建省、黑龙江省",117,618
"氟康唑氯化钠注射液","四川科伦药业股份有限公司",45.15,"100ml:氟康唑0.2g与氯化钠0.9g",1,45.15,2021,"上海市、吉林省、山西省、江西省、浙江省、海南省、湖南省、西藏自治区、贵州省、辽宁省",117,236
"格列吡嗪控释片","南京易亨制药有限公司",13.85,"5mg",14,0.989285714285714,2021,"云南省、吉林省、天津市、宁夏回族自治区、安徽省、广东省、河北省、河南省、浙江省、湖北省、甘肃省、西藏自治区、贵州省、重庆市、陕西省",109,188
"格列吡嗪控释片","北京红林制药有限公司",21.78,"5mg",28,0.777857142857143,2021,"上海市、内蒙古自治区、北京市、四川省、山东省、山西省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、海南省、湖南省、福建省、辽宁省、青海省、黑龙江省",109,164
"利伐沙班片","上海汇伦江苏药业有限公司",39.9,"20mg",21,1.9,2021,"吉林省、山东省、江西省、福建省",12,96
"利伐沙班片","江苏柯菲平医药股份有限公司（南京柯菲平盛辉制药有限公司受托生产）",75,"20mg",30,2.5,2021,"云南省、内蒙古自治区、江苏省、湖北省",12,444
"利伐沙班片","浙江华海药业股份有限公司",155.4,"20mg",30,5.18,2021,"山西省、河北省、陕西省、黑龙江省",12,499
"利伐沙班片","深圳信立泰药业股份有限公司",18.97,"20mg",28,0.6775,2021,"上海市、天津市、海南省、甘肃省、辽宁省、青海省",12,566
"利伐沙班片","齐鲁制药有限公司",10.58,"10mg",20,0.529,2021,"河北省、海南省、陕西省",12,712
