,Name,Firm,Price,Strength,Count,unit_price,Year,Area
1872,氟比洛芬酯注射液,武汉大安制药有限公司,109.75,5ml:50mg,5,21.95,2019,云南省、吉林省、安徽省、山东省、广西壮族自治区、江苏省、江西省、海南省、湖南省、贵州省、陕西省、青海省
1873,福辛普利钠片,中美上海施贵宝制药有限公司,11.8,10mg,14,0.842857142857143,2019,云南省、内蒙古自治区、吉林省、宁夏回族自治区、山西省、广东省、江苏省、海南省、湖北省、贵州省、辽宁省、青海省
1874,福辛普利钠片,浙江华海药业股份有限公司,17.4,10mg,21,0.828571428571429,2019,四川省、安徽省、山东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江西省、河南省、浙江省、湖南省、甘肃省、西藏自治区、陕西省、黑龙江省
1875,富马酸替诺福韦二吡呋酯片,成都倍特药业有限公司,13.98,300mg,30,0.466,2019,宁夏回族自治区、安徽省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、湖南省、甘肃省、贵州省
1876,富马酸替诺福韦二吡呋酯片,齐鲁制药有限公司,8.7,300mg,30,0.29,2019,云南省、内蒙古自治区、吉林省、四川省、山东省、广东省、西藏自治区、辽宁省、陕西省
1877,富马酸替诺福韦二吡呋酯片,杭州和泽医药科技有限公司（杭州苏泊尔南洋药业有限公司受委托生产）,11.37,300mg,30,0.379,2019,山西省、江西省、河南省、浙江省、海南省、湖北省、青海省、黑龙江省
1878,吉非替尼片,"AstraZenecaAB（KagamiishiPlant,NiproPharmaCorporation）（阿斯利康制药有限公司分包装）",547,250mg,10,54.7,2019,宁夏回族自治区、广东省、江西省、浙江省、海南省、贵州省、辽宁省、陕西省
1879,吉非替尼片,齐鲁制药（海南）有限公司,257,250mg,10,25.7,2019,云南省、山西省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、河南省、湖北省、湖南省、西藏自治区、青海省
1880,吉非替尼片,正大天晴药业集团股份有限公司,450,250mg,10,45,2019,内蒙古自治区、吉林省、四川省、安徽省、山东省、广西壮族自治区、甘肃省、黑龙江省
1881,甲磺酸伊马替尼胶囊,正大天晴药业集团股份有限公司,586.39,100mg,60,9.77316666666667,2019,云南省、吉林省、安徽省、山东省、广东省、广西壮族自治区、浙江省、海南省、湖南省、甘肃省、西藏自治区、贵州省、陕西省
1882,甲磺酸伊马替尼片,江苏豪森药业集团有限公司,623,100mg,60,10.3833333333333,2019,内蒙古自治区、四川省、宁夏回族自治区、山西省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、河南省、湖北省、辽宁省、青海省、黑龙江省
1883,赖诺普利片,浙江华海药业股份有限公司,6.45,10mg,28,0.230357142857143,2019,云南省、内蒙古自治区、吉林省、四川省、宁夏回族自治区、安徽省、山东省、山西省、广东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、河南省、浙江省、海南省、湖北省、湖南省、甘肃省、西藏自治区、贵州省、辽宁省、陕西省、青海省、黑龙江省
1884,利培酮片,常州四药制药有限公司,3.6,1mg,30,0.12,2019,云南省、山西省、广东省、江苏省、浙江省、湖北省、甘肃省、青海省
1885,利培酮片,浙江华海药业股份有限公司,7.2,1mg,60,0.12,2019,吉林省、四川省、宁夏回族自治区、新疆生产建设兵团、新疆维吾尔自治区、江西省、湖南省、辽宁省、黑龙江省
1886,利培酮片,齐鲁制药有限公司,1.47,1mg,30,0.049,2019,内蒙古自治区、安徽省、山东省、广西壮族自治区、河南省、海南省、西藏自治区、贵州省、陕西省
1887,硫酸氢氯吡格雷片,乐普药业股份有限公司,20.85,75mg,7,2.97857142857143,2019,云南省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、湖北省、甘肃省、陕西省、青海省
1888,硫酸氢氯吡格雷片,SanofiClirSNC（SanofiWinthropIndustrie）（赛诺菲（杭州）制药有限公司分包装）,17.81,75mg,7,2.54428571428571,2019,内蒙古自治区、宁夏回族自治区、山东省、山西省、广东省、江西省、湖南省、贵州省
1889,硫酸氢氯吡格雷片,石药集团欧意药业有限公司,34.12,75mg,14,2.43714285714286,2019,吉林省、四川省、安徽省、河南省、浙江省、海南省、西藏自治区、辽宁省、黑龙江省
1890,氯沙坦钾片,浙江华海药业股份有限公司,14.7,50mg,14,1.05,2019,云南省、内蒙古自治区、吉林省、四川省、宁夏回族自治区、安徽省、山东省、山西省、广东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、河南省、浙江省、海南省、湖北省、湖南省、甘肃省、西藏自治区、贵州省、辽宁省、陕西省、青海省、黑龙江省
1891,马来酸依那普利片,扬子江药业集团江苏制药股份有限公司,8.93,10mg,16,0.558125,2019,云南省、内蒙古自治区、吉林省、四川省、宁夏回族自治区、安徽省、山东省、山西省、广东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、河南省、浙江省、海南省、湖北省、湖南省、甘肃省、西藏自治区、贵州省、辽宁省、陕西省、青海省、黑龙江省
1892,蒙脱石散,湖南华纳大药厂股份有限公司,4.16,3g,15,0.277333333333333,2019,云南省、四川省、山东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、西藏自治区、贵州省、辽宁省
1893,蒙脱石散,哈药集团中药二厂,3.6,3g,12,0.3,2019,内蒙古自治区、吉林省、宁夏回族自治区、河南省、湖南省、陕西省、青海省、黑龙江省
1894,蒙脱石散,浙江海力生制药有限公司,3.95,3g,12,0.329166666666667,2019,安徽省、山西省、广东省、江西省、浙江省、海南省、湖北省、甘肃省
1895,孟鲁司特钠片,MerckSharp&DohmeB.V.（MerckSharp&DohmeLtd.）（杭州默沙东制药有限公司分包装）,19.38,10mg,5,3.876,2019,云南省、内蒙古自治区、四川省、山东省、江西省、河南省、海南省、湖北省、甘肃省、贵州省、青海省、黑龙江省
1896,孟鲁司特钠片,上海安必生制药技术有限公司（杭州民生滨江制药有限公司受委托生产）,18.96,10mg,5,3.792,2019,吉林省、宁夏回族自治区、安徽省、山西省、广东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、浙江省、湖南省、西藏自治区、辽宁省、陕西省
1897,瑞舒伐他汀钙片,南京正大天晴制药有限公司,4.18,10mg,14,0.298571428571429,2019,云南省、四川省、安徽省、山西省、江苏省、贵州省、陕西省、黑龙江省
1898,瑞舒伐他汀钙片,LekPharmaceuticalsd.d.（山德士（中国）制药有限公司分包装）,6.84,10mg,30,0.228,2019,宁夏回族自治区、广东省、新疆生产建设兵团、新疆维吾尔自治区、江西省、浙江省、甘肃省、辽宁省、青海省
1899,瑞舒伐他汀钙片,瀚晖制药有限公司（浙江海正药业股份有限公司受委托生产）,5.6,10mg,28,0.2,2019,内蒙古自治区、吉林省、山东省、广西壮族自治区、河南省、海南省、湖北省、湖南省、西藏自治区
1900,头孢呋辛酯片,国药集团致君（深圳）制药有限公司,4.28,250mg,12,0.356666666666667,2019,宁夏回族自治区、山西省、广东省、河南省、浙江省、湖北省、西藏自治区、贵州省、辽宁省
1901,头孢呋辛酯片,广州白云山天心制药股份有限公司,3.87,250mg,8,0.48375,2019,云南省、内蒙古自治区、四川省、山东省、江西省、海南省、湖南省、陕西省
1902,头孢呋辛酯片,浙江京新药业股份有限公司,5.79,250mg,12,0.4825,2019,吉林省、安徽省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、甘肃省、青海省、黑龙江省
1903,盐酸帕罗西汀片,浙江华海药业股份有限公司,31.18,20mg,20,1.559,2019,云南省、吉林省、四川省、宁夏回族自治区、山东省、广东省、江苏省、江西省、湖北省、甘肃省、西藏自治区、陕西省、黑龙江省
1904,盐酸帕罗西汀片,北京福元医药股份有限公司,32.35,20mg,20,1.6175,2019,内蒙古自治区、安徽省、山西省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、河南省、浙江省、海南省、湖南省、贵州省、辽宁省、青海省
1905,盐酸右美托咪定注射液,扬子江药业集团有限公司,532,2ml:0.2mg,4,133,2019,云南省、内蒙古自治区、吉林省、四川省、宁夏回族自治区、安徽省、山东省、山西省、广东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、河南省、浙江省、海南省、湖北省、湖南省、甘肃省、西藏自治区、贵州省、辽宁省、陕西省、青海省、黑龙江省
1906,注射用培美曲塞二钠,ELILILLYANDCOMPANY,809,100mg,1,809,2019,宁夏回族自治区、山东省、山西省、广东省、新疆生产建设兵团、新疆维吾尔自治区、浙江省、湖南省、甘肃省、辽宁省、陕西省、青海省、黑龙江省
1907,注射用培美曲塞二钠,ELILILLYANDCOMPANY,2773.54,500mg,1,2773.54,2019,宁夏回族自治区、山东省、山西省、广东省、新疆生产建设兵团、新疆维吾尔自治区、浙江省、湖南省、甘肃省、辽宁省、陕西省、青海省、黑龙江省
1908,注射用培美曲塞二钠,四川汇宇制药有限公司,2735.83,500mg,1,2735.83,2019,云南省、内蒙古自治区、吉林省、四川省、安徽省、广西壮族自治区、江苏省、江西省、河南省、海南省、湖北省、西藏自治区、贵州省
1909,注射用培美曲塞二钠,四川汇宇制药有限公司,798,100mg,1,798,2019,云南省、内蒙古自治区、吉林省、四川省、安徽省、广西壮族自治区、江苏省、江西省、河南省、海南省、湖北省、西藏自治区、贵州省
1910,左乙拉西坦片,浙江京新药业股份有限公司,71.79,250mg,30,2.393,2019,云南省、吉林省、宁夏回族自治区、广东省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、浙江省、湖南省、甘肃省、西藏自治区、辽宁省、青海省
1911,左乙拉西坦片,浙江普洛康裕制药有限公司,71.9,250mg,30,2.39666666666667,2019,内蒙古自治区、四川省、安徽省、山东省、山西省、广西壮族自治区、河南省、海南省、湖北省、贵州省、陕西省、黑龙江省
1912,阿德福韦酯片,齐鲁制药有限公司,27,10mg,30,0.9,2020,云南省、四川省、安徽省、山东省、山西省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江西省、河北省、湖北省、湖南省、贵州省、辽宁省、陕西省、青海省、黑龙江省
1913,阿德福韦酯片,福建广生堂药业股份有限公司,28.5,10mg,30,0.95,2020,上海市、内蒙古自治区、北京市、吉林省、天津市、宁夏回族自治区、广东省、江苏省、河南省、浙江省、海南省、甘肃省、福建省、西藏自治区、重庆市
1914,阿卡波糖胶囊,四川绿叶制药股份有限公司,9.6,50mg,30,0.32,2020,上海市、吉林省、四川省、宁夏回族自治区、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江苏省、河北省、浙江省、湖北省、西藏自治区、贵州省、重庆市、陕西省、黑龙江省
1915,阿卡波糖片,拜耳医药保健有限公司,5.42,50mg,30,0.180666666666667,2020,云南省、内蒙古自治区、北京市、天津市、安徽省、山东省、山西省、广东省、江西省、河南省、海南省、湖南省、甘肃省、福建省、辽宁省、青海省
1916,阿莫西林胶囊,华北制药股份有限公司,2.66,0.25g,40,0.0665,2020,吉林省、安徽省、山西省、江西省、河北省
1917,阿莫西林胶囊,石药集团中诺药业（石家庄）有限公司,2.16,0.25g,30,0.072,2020,内蒙古自治区、四川省、浙江省、西藏自治区、陕西省
1918,阿莫西林胶囊,山东鲁抗医药股份有限公司,3.19,0.25g,48,0.0664583333333333,2020,宁夏回族自治区、山东省、贵州省、辽宁省、黑龙江省
1919,阿莫西林胶囊,海南通用三洋药业有限公司,2.63,0.25g,50,0.0526,2020,广东省、广西壮族自治区、海南省、湖北省、湖南省、重庆市
1920,阿莫西林胶囊,湖南科伦制药有限公司,1.73,0.25g,24,0.0720833333333333,2020,云南省、新疆生产建设兵团、新疆维吾尔自治区、河南省、甘肃省、青海省
1921,阿莫西林胶囊,浙江金华康恩贝生物制药有限公司,1.9,0.25g,24,0.0791666666666667,2020,上海市、北京市、天津市、江苏省、福建省
1922,阿奇霉素胶囊,北京四环制药有限公司,5.46,0.25g,6,0.91,2020,山东省、广西壮族自治区、江苏省、甘肃省、福建省、西藏自治区、辽宁省、黑龙江省
1923,阿奇霉素胶囊,苏州二叶制药有限公司,6.36,0.25g,6,1.06,2020,吉林省、宁夏回族自治区、山西省、江西省、河北省、河南省、重庆市
1924,阿奇霉素片,石药集团欧意药业有限公司,4.98,0.25g,6,0.83,2020,北京市、天津市、广东省、新疆生产建设兵团、新疆维吾尔自治区、浙江省、湖南省、贵州省、陕西省、青海省
1925,阿奇霉素片,浙江华润三九众益制药有限公司,6.13,0.25g,6,1.02166666666667,2020,上海市、云南省、内蒙古自治区、四川省、安徽省、海南省、湖北省
1926,安立生坦片,江苏豪森药业集团有限公司,229,5mg,10,22.9,2020,云南省、北京市、吉林省、四川省、山东省、山西省、广东省、江苏省、湖北省、西藏自治区、贵州省、重庆市、陕西省、青海省、黑龙江省
1927,安立生坦片,浙江华海药业股份有限公司,600,5mg,30,20,2020,上海市、内蒙古自治区、天津市、宁夏回族自治区、安徽省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江西省、河北省、河南省、浙江省、海南省、湖南省、甘肃省、福建省、辽宁省
1928,奥美沙坦酯片,南京正大天晴制药有限公司,17.76,20mg,14,1.26857142857143,2020,吉林省、宁夏回族自治区、山东省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、河北省、湖北省
1929,奥美沙坦酯片,东莞市阳之康医药有限责任公司（广东东阳光药业有限公司受委托生产）,17.08,20mg,28,0.61,2020,上海市、内蒙古自治区、北京市、江西省、海南省、湖南省、福建省、西藏自治区、黑龙江省
1930,奥美沙坦酯片,北京福元医药股份有限公司,12.23,20mg,7,1.74714285714286,2020,云南省、四川省、安徽省、广东省、浙江省、甘肃省、陕西省
1931,奥美沙坦酯片,深圳信立泰药业股份有限公司,9.66,20mg,14,0.69,2020,天津市、山西省、江苏省、河南省、贵州省、辽宁省、重庆市、青海省
1932,醋酸阿比特龙片,成都盛迪医药有限公司,3828,0.25g,120,31.9,2020,内蒙古自治区、吉林省、天津市、安徽省、山东省、广西壮族自治区、浙江省、贵州省、重庆市、青海省
1933,醋酸阿比特龙片,江西山香药业有限公司,4296,0.25g,120,35.8,2020,北京市、宁夏回族自治区、山西省、江西省、河北省、海南省、湖北省、福建省、西藏自治区、陕西省
1934,醋酸阿比特龙片,正大天晴药业集团股份有限公司,2800,0.25g,120,23.3333333333333,2020,上海市、云南省、四川省、广东省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、河南省、湖南省、甘肃省、辽宁省、黑龙江省
1935,对乙酰氨基酚片,地奥集团成都药业股份有限公司,0.59,0.5g,12,0.0491666666666667,2020,山东省、海南省、湖北省、贵州省、陕西省
1936,对乙酰氨基酚片,成都通德药业有限公司,0.69,0.5g,20,0.0345,2020,北京市、四川省、天津市、福建省、辽宁省、重庆市
1937,对乙酰氨基酚片,宜昌人福药业有限责任公司,0.55,0.5g,10,0.055,2020,吉林省、安徽省、新疆生产建设兵团、新疆维吾尔自治区、甘肃省、青海省
1938,对乙酰氨基酚片,四川省通园制药集团有限公司,5.59,0.5g,100,0.0559,2020,云南省、内蒙古自治区、广东省、江西省、浙江省
1939,对乙酰氨基酚片,河北冀衡（集团）药业有限公司,0.78,0.5g,12,0.065,2020,上海市、江苏省、河北省、西藏自治区、黑龙江省
1940,对乙酰氨基酚片,华中药业股份有限公司,3.33,0.5g,100,0.0333,2020,宁夏回族自治区、山西省、广西壮族自治区、河南省、湖南省
1941,氟康唑胶囊,成都倍特药业有限公司,1.69,50mg,6,0.281666666666667,2020,上海市、内蒙古自治区、北京市、宁夏回族自治区、山西省、新疆生产建设兵团、新疆维吾尔自治区、江西省、河北省、浙江省、西藏自治区
1942,氟康唑片,扬子江药业集团有限公司,5.47,50mg,24,0.227916666666667,2020,吉林省、天津市、广东省、广西壮族自治区、江苏省、海南省、湖南省、福建省、辽宁省、陕西省、黑龙江省
1943,氟康唑片,四川科伦药业股份有限公司,7.49,50mg,30,0.249666666666667,2020,云南省、四川省、安徽省、山东省、河南省、湖北省、甘肃省、贵州省、重庆市、青海省
1944,福多司坦片,宜昌东阳光长江药业股份有限公司,13.08,0.2g,20,0.654,2020,云南省、内蒙古自治区、北京市、山东省、广东省、海南省、甘肃省、西藏自治区、辽宁省、黑龙江省
1945,福多司坦片,江苏正大丰海制药有限公司,25.59,0.2g,24,1.06625,2020,安徽省、江苏省、河北省、河南省、浙江省、湖北省、贵州省、重庆市、陕西省、青海省
1946,福多司坦片,四川科伦药业股份有限公司,7.86,0.2g,12,0.655,2020,上海市、吉林省、四川省、天津市、宁夏回族自治区、山西省、广西壮族自治区、新疆生产建设兵团、新疆维吾尔自治区、江西省、湖南省、福建省
1947,富马酸比索洛尔片,北京华素制药股份有限公司,3.73,2.5mg,10,0.373,2020,北京市、天津市、宁夏回族自治区、山东省、山西省、广西壮族自治区、江西省、河北省、海南省、甘肃省、福建省、贵州省、辽宁省、陕西省、青海省
1948,富马酸比索洛尔片,成都苑东生物制药股份有限公司,6.15,2.5mg,18,0.341666666666667,2020,上海市、云南省、内蒙古自治区、吉林省、四川省、安徽省、广东省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、河南省、浙江省、湖北省、湖南省、西藏自治区、重庆市、黑龙江省
1949,格列美脲片,北京北陆药业股份有限公司,1.64,1mg,30,0.0546666666666667,2020,吉林省、河南省、湖北省、西藏自治区、辽宁省、黑龙江省
1950,格列美脲片,重庆康刻尔制药有限公司,0.53,1mg,10,0.053,2020,云南省、四川省、安徽省、甘肃省、贵州省、重庆市
1951,格列美脲片,山东新华制药股份有限公司,1.61,1mg,30,0.0536666666666667,2020,内蒙古自治区、山东省、新疆生产建设兵团、新疆维吾尔自治区、河北省、湖南省、青海省
1952,格列美脲片,贵州圣济堂制药有限公司,4.68,2mg,90,0.052,2020,上海市、山西省、广东省、广西壮族自治区、江苏省、海南省、福建省
1953,格列美脲片,四川海汇药业有限公司（扬子江药业集团广州海瑞药业有限公司受委托生产）,4.64,2mg,60,0.0773333333333333,2020,北京市、天津市、宁夏回族自治区、江西省、浙江省、陕西省
1954,琥珀酸索利那新片,浙江海正药业股份有限公司,33.16,5mg,10,3.316,2020,内蒙古自治区、北京市、宁夏回族自治区、安徽省、山东省、山西省、广西壮族自治区、江苏省、江西省、河北省
1955,琥珀酸索利那新片,四川国为制药有限公司,29.89,5mg,10,2.989,2020,上海市、云南省、吉林省、天津市、广东省、浙江省、湖北省、湖南省、福建省、贵州省、黑龙江省
1956,琥珀酸索利那新片,齐鲁制药有限公司,53.18,5mg,14,3.79857142857143,2020,四川省、新疆生产建设兵团、新疆维吾尔自治区、河南省、海南省、甘肃省、西藏自治区、辽宁省、重庆市、陕西省、青海省
1957,甲硝唑片,四川科伦药业股份有限公司,1.84,0.2g,21,0.0876190476190476,2020,云南省、宁夏回族自治区、新疆生产建设兵团、新疆维吾尔自治区、河北省、河南省、浙江省、湖北省、湖南省、甘肃省、西藏自治区、贵州省、辽宁省、重庆市、陕西省、黑龙江省
1958,甲硝唑片,远大医药（中国）有限公司,5.07,0.2g,100,0.0507,2020,上海市、内蒙古自治区、北京市、吉林省、四川省、天津市、安徽省、山东省、山西省、广东省、广西壮族自治区、江苏省、江西省、海南省、福建省、青海省
1959,聚乙二醇4000散,重庆华森制药股份有限公司,14.09,10g,15,0.939333333333333,2020,内蒙古自治区、安徽省、山东省、广西壮族自治区、河南省、湖南省、黑龙江省
1960,聚乙二醇4000散,马应龙药业集团股份有限公司,7.39,10g,10,0.739,2020,北京市、四川省、山西省、浙江省、海南省、湖北省、甘肃省、陕西省、青海省
1961,聚乙二醇4000散,重庆赛诺生物药业股份有限公司,8.45,10g,10,0.845,2020,云南省、天津市、新疆生产建设兵团、新疆维吾尔自治区、福建省、西藏自治区、贵州省、辽宁省、重庆市
1962,聚乙二醇4000散,湖南华纳大药厂股份有限公司,35.48,10g,30,1.18266666666667,2020,上海市、吉林省、宁夏回族自治区、广东省、江苏省、江西省、河北省
1963,坎地沙坦酯片,天地恒一制药股份有限公司,3.8,4mg,14,0.271428571428571,2020,云南省、北京市、四川省、安徽省、山东省、山西省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、海南省、湖南省、甘肃省、福建省、西藏自治区、辽宁省
1964,坎地沙坦酯片,浙江永宁药业股份有限公司,3.69,8mg,14,0.263571428571429,2020,上海市、内蒙古自治区、吉林省、天津市、宁夏回族自治区、广东省、广西壮族自治区、河北省、河南省、浙江省、湖北省、贵州省、重庆市、陕西省、青海省、黑龙江省
1965,铝碳酸镁咀嚼片,广东华润顺峰药业有限公司,7.26,0.5g,24,0.3025,2020,内蒙古自治区、北京市、吉林省、天津市、广西壮族自治区、河北省、河南省、浙江省、湖北省、湖南省、西藏自治区、贵州省、重庆市、陕西省、青海省
1966,铝碳酸镁咀嚼片,重庆华森制药股份有限公司,9.46,0.5g,36,0.262777777777778,2020,上海市、云南省、四川省、宁夏回族自治区、安徽省、山东省、山西省、广东省、新疆生产建设兵团、新疆维吾尔自治区、江苏省、江西省、海南省、甘肃省、福建省、辽宁省、黑龙江省
1967,美洛昔康片,扬子江药业集团有限公司,5.37,7.5mg,20,0.2685,2020,内蒙古自治区、四川省、天津市、宁夏回族自治区、安徽省、山东省、山西省、江苏省、江西省、河北省、浙江省、湖北省、甘肃省、贵州省、青海省、黑龙江省
