"","Name","Firm","Price","Volume","Count","unit_price","Year"
"328","注射用兰索拉唑","江苏吴中医药集团有限公司苏州制药厂",93,"30mg",1,93,2015
"329","注射用兰索拉唑","南京海辰药业股份有限公司",93,"30mg",1,93,2015
"330","注射用兰索拉唑","山东罗欣药业集团股份有限公司",103.48,"30mg",1,103.48,2015
"331","注射用兰索拉唑","山东罗欣药业集团股份有限公司",103.48,"30mg",1,103.48,2015
"332","注射用兰索拉唑","上海新亚药业有限公司",93,"30mg",1,93,2015
"333","注射用兰索拉唑","上海新亚药业有限公司",93,"30mg",1,93,2015
"334","注射用兰索拉唑","武汉普生制药有限公司",93,"30mg",1,93,2015
"335","注射用兰索拉唑","悦康药业集团有限公司",93,"30mg",1,93,2015
"336","注射用兰索拉唑","悦康药业集团有限公司",93.04,"30mg",1,93.04,2015
"337","盐酸乐卡地平片","Recordati S.P.A.（Recordati S.P.A.）",32.61,"10mg",7,4.65857142857143,2015
"338","盐酸乐卡地平片","重庆圣华曦药业股份有限公司",30.15,"10mg",7,4.30714285714286,2015
"339","盐酸乐卡地平片","重庆圣华曦药业股份有限公司",42.5,"10mg",10,4.25,2015
"340","盐酸乐卡地平片","重庆圣华曦药业股份有限公司",58.8,"10mg",14,4.2,2015
"341","利伐沙班片","Bayer Pharma AG",364.35,"10mg",5,72.87,2015
"342","利培酮片","Novartis (Bangladesh) Limited (Novartis (Bangladesh) Limited)",26.93,"1mg",20,1.3465,2015
"343","利培酮片","常州四药制药有限公司",28.34,"1mg",20,1.417,2015
"344","利培酮片","江苏恩华药业股份有限公司",25.52,"1mg",20,1.276,2015
"345","利培酮片","齐鲁制药有限公司",33.74,"3mg",10,3.374,2015
"346","利培酮片","天津药物研究院药业有限责任公司",21.2,"1mg",20,1.06,2015
"347","利培酮片","浙江华海药业股份有限公司",26,"1mg",20,1.3,2015
"348","利培酮片","浙江华海药业股份有限公司",38.43,"1mg",30,1.281,2015
"349","硫辛酸注射液","STADApharm GmbH（Hameln Pharmaceuticals GmbH）",62.78,"12ml",1,62.78,2015
"350","硫辛酸注射液","北京四环科宝制药有限公司",42.08,"12ml",1,42.08,2015
"351","硫辛酸注射液","江苏神龙药业有限公司",51.05,"12ml",1,51.05,2015
"352","硫辛酸注射液","南京新百药业有限公司",42.08,"12ml",1,42.08,2015
"353","硫辛酸注射液","上海现代哈森（商丘）药业有限公司",94.9,"20ml",1,94.9,2015
