Name,Firm,Price,Volume,Count
紫杉醇注射液,"Bristol-Myers Squibb S.R.L.(Corden Pharma
Latina S.P.A.)",860.18,30mg,1
注射用头孢唑肟钠,"CHONG KUN DANG PHARMACEUTICAL CORP.（CHONG
KUN DANG PHARMACEUTICAL CORP.）",27.21,1.0g,1
拉米夫定片,Cipla Ltd.(Cipla Ltd.),86.58,100mg,14
拉米夫定片,Cipla Ltd.（江苏万高药业有限公司分包装）,31.21,100mg,7
拉米夫定片,Cipla Ltd.（江苏万高药业有限公司分包装）,60.85,100mg,14
注射用盐酸万古霉素,"CJ Cheiljedang Corporation（CJ Cheiljedang
Corporation）",129.02,1.0g,1
"脂肪乳（10%）/氨基酸（15）/葡
萄糖（20%）注射液",Clintec Parenteral S .A.S.(BAXTER S. A.),291.58,2000ml,1
长链脂肪乳注射液（OO）,Clintec Parenteral(Baxter S.A.),150.38,250ml,250
铝镁混悬液（Ⅱ）,"Daewoong Pharmaceutical Co., Ltd.",79.82,10ml,12
熊去氧胆酸软胶囊,"Daewoong Pharmaceutical Co., Ltd.",262.22,100mg,60
注射用盐酸头孢替安,"Daewoong Pharmaceutical Co., Ltd.(Daewoong
Pharmaceutical Co., Ltd.)",34.99,1.0g,1
注射用盐酸头孢替安,"Daewoong Pharmaceutical Co., Ltd.（华北制药河
北华民药业有限责任公司分包装）",30.51,1.0g,1
左卡尼汀注射液,"Demo S.A. Pharmaceutical Industry（Demo S.A.
Pharmaceutical Industry）",39.58,5ml,1
卡波姆眼用凝胶,"Dr.Gerhard Mann,Chem.-Pharm. Fabrik GmbH(山东
博士伦福瑞达制药有限公司分包装)",34.35,10g,1
羟苯磺酸钙胶囊,"Ebewe Pharma Ges.m.b.H.Nfg.KG (Klocke Pharma
Service)",139.34,0.5g,60
羟苯磺酸钙胶囊,"Ebewe Pharma Ges.m.b.H.Nfg.KG (Klocke Pharma
Service)",48.35,0.5g,20
注射用盐酸万古霉素,ELI LILLY ITALIA S.P.A.(VIANEX S.A.(PLANT C)),117.61,0.5g,1
赖脯胰岛素注射液,Eli Lilly Nederland B.V.(Lilly France),77.98,3ml,1
注射用曲普瑞林,Ferring GmbH（Ferring GmbH）,1521.09,3.75mg,1
丙泊酚中/长链脂肪乳注射液,"Fresenius Kabi Austria GmbH(北京费森尤斯卡比
医药有限公司分装）",299.26,50ml,1
丙泊酚中/长链脂肪乳注射液,"Fresenius Kabi Austria GmbH（北京费森尤斯卡比
医药有限公司分装）",68.52,20ml,1
丙泊酚注射液,"Fresenius Kabi Austria GmbH（北京费森尤斯卡比
医药有限公司分装）",88.61,50ml,1
甲磺酸溴隐亭片,"Future Health Pharma GmbH(Novartis Farma
S.P.A.)",104.08,2.5mg,30
注射用哌库溴铵,Gedeon Richter Plc.,21.55,4mg,1
复方消化酶胶囊,"Hanlim Pharmaceutical Co., Ltd.(Hanlim
Pharmaceutical Co., Ltd.)",36.09,,20
氢溴酸西酞普兰片,Hexal AG （Salutas Pharma GmbH）,42.15,20mg,14
复方聚乙二醇电解质散（Ⅲ）,Ipsen Pharma(Beaufour Ipsen Industrie),127.5,59g,4
注射用醋酸曲普瑞林,Ipsen Pharma（IPSEN PHARMA BIOTECH）,1562.17,3.75mg,1
伊曲康唑注射液,"Janssen-Cilag Ltd.(Janssen Pharmaceutica
N.V.)",859.35,250mg,1
注射用亚胺培南-西司他丁钠,"JW HOLDINGS CORPORATION（JW HOLDINGS
CORPORATION）",86.9,1.0g,1
沙美特罗替卡松粉吸入剂,"Laboratoire GlaxoSmithKline(Glaxo Wellcome
Production)",316.4,,1
沙美特罗替卡松粉吸入剂,"Laboratoire GlaxoSmithKline(Glaxo Wellcome
Production)",207.55,,1
阿托伐他汀钙片,"Lek Pharmaceuticals d.d（山德士（中国）制药有
限公司分装）",53.36,20mg,10
夫西地酸乳膏,LEO Pharma A/S（LEO Laboratories Limited ）,31.73,15g,1
地奥司明片,"LES LABORATOIRES SERVIER INDUSTRIE （施维雅天
津制药有限公司分装）",56.24,0.5g,30
碘佛醇注射液,"Liebel-Flarsheim Canada Inc(Liebel-Flarsheim
Canada Inc)",234.43,100ml,1
碘佛醇注射液,"Liebel-Flarsheim Canada Inc(Liebel-Flarsheim
Canada Inc)",371.05,125ml,1
水飞蓟素胶囊,MADAUS GMBH（德国马博士大药厂）,35.45,140mg,10
吸入用七氟烷,"Maruishi Pharmaceutical Co.,Ltd.(Maruishi
Pharmaceutical Co.,Ltd.)",2378.28,250ml,1
注射用亚胺培南西司他丁钠,"Merck Sharp & Dohme Corp.(杭州默沙东制药有限
公司分包装)",146.74,1.0g,1
孟鲁司特钠片,"Merck Sharp & Dohme Limited（杭州默沙东制药有
限公司分装）",35.99,10mg,5
辛伐他汀片,"Merck Sharp & Dohme Limited（杭州默沙东制药有
限公司分装）",41.55,20mg,14
辛伐他汀片,"Merck Sharp & Dohme Limited（杭州默沙东制药有
限公司分装）",26.13,40mg,5
注射用醋酸卡泊芬净,"Merck Sharp & Dohme Ltd(Laboratoires Merck
Sharp & Dohme Chibret)",1643.32,50mg,1
注射用醋酸卡泊芬净,"Merck Sharp & Dohme Ltd(Laboratoires Merck
Sharp & Dohme Chibret)",2167.31,70mg,1
替莫唑胺胶囊,Merck Sharp & Dohme Ltd(Orion Corporation),1062.89,20mg,5
替莫唑胺胶囊,Merck Sharp & Dohme Ltd(Orion Corporation),3969.12,100mg,5
整蛋白型肠内营养剂,Milupa GmbH (Milupa GmbH),69.53,320g,1
米氮平片,"Novartis (Bangladesh) Limited (Novartis
(Bangladesh) Limited)",62.68,30mg,10
利培酮片,"Novartis （Bangladesh） Limited （Novartis
（Bangladesh） Limited）",13.9,1mg,20
注射用醋酸奥曲肽微球,Novartis Pharma Schweiz AG(Sandoz GmbH),8787.22,20mg,1
注射用醋酸奥曲肽微球,Novartis Pharma Schweiz AG（Sandoz GmbH）,11664.74,30mg,1
布地奈德吸入粉雾剂,"Orion Corporation（Orion Corporation Orion
Pharma, Espoo Plant）",161.91,,1
磷酸雌莫司汀胶囊,Pfizer Italia Srl(Pfizer Italia Srl),883.5,140mg,40
注射用伏立康唑,Pfizer Limited(Pharmacia & Upjohn Company),1079.22,200mg,1
拉坦噻吗滴眼液,Pfizer Manufacturing Beglium NV,203.04,6.8mg,1
塞来昔布胶囊,"Pfizer Pharmaceuticals LLC（辉瑞制药有限公司
进口分装）",34.48,200mg,6
甲泼尼龙片,PfizerItaliaSrl辉瑞意大利,28.48,4mg,30
利奈唑胺片,"Pharmacia & Upjohn Company(Pfizer
Pharmaceuticals LLC)",3894.09,0.6g,10
注射用亚胺培南西司他丁钠,"Ranbaxy Laboratories Limited(Ranbaxy
Laboratories Limited)",97.53,1.0g,1
伏格列波糖片,"Ranbaxy Laboratories Limited（Ranbaxy
Laboratories Limited）",36.22,0.2mg,30
注射用更昔洛韦,"Roche Pharma(Schweiz)Ltd.( F.Hoffmann-La
Roche Ltd. )",329.46,500mg,1
硫酸氨基葡萄糖胶囊,ROTTAPHARM S.P.A(Rottapharm Ltd),52.16,0.25g,20
洛度沙胺滴眼液,"s.a. ALCON-COUVREUR n.v.（s.a. ALCON-COUVREUR
n.v.）",25.58,5ml,1
盐酸倍他洛尔滴眼液,"s.a. ALCON-COUVREUR n.v.（s.a. ALCON-COUVREUR
n.v.）",39.55,12.5mg,1
阿莫西林克拉维酸钾片(7:1),SandozGmbH山德士奥地利,18.37,1000mg,6
氨磺必利片,"Sanofi Winthrop Industrie （  诺菲（杭州）制
药有限公司分装）",262.95,200mg,20
氟他胺片,Schering-Plough Canada Inc.(S-P Canada),1184.65,250mg,100
注射用胸腺法新,"SciClone Pharmaceuticals Italy S.R.L(Patheon
Italia S.p.A.)",517.39,1.6mg,1
左卡尼汀注射液,"Sigma-Tau Industrie Farmaceutiche Riunite
S.p.A.（Sigma-Tau Industrie Farmaceutiche
Riunite S.p.A.）",47.56,5ml,1
硫辛酸注射液,"STADApharm GmbH（Hameln Pharmaceuticals
GmbH）",59.03,12ml,1
拉坦前列素滴眼液,"Taejoon Pharm. Co., Ltd.（Taejoon Pharm. Co.,
Ltd.）",105.86,2.5ml,1
泮托拉唑钠肠溶片,"Takeda GmbH（Takeda GmbH production site
Oranienburg）",68.95,40mg,7
泮托拉唑钠肠溶片,"Takeda GmbH（Takeda GmbH production site
Oranienburg）",134.46,40mg,14
苯磺顺阿曲库铵注射液,"THE WELLCOME FOUNDATION LTD(GLAXOSMITHKLINE
MANUFACTURING SPA)",109.04,10mg,1
注射用盐酸万古霉素,"Xellia Pharmaceuticals ApS(Xellia
Pharmaceuticals ApS)",121.84,1.0g,1
吸入用乙酰半胱氨酸溶液,ZAMBON ITALIA S.R.L.（ZAMBON S.P.A.）,14.22,3ml,1
注射用艾司奥美拉唑钠,阿斯利康制药有限公司,108.86,40mg,1
艾司奥美拉唑镁肠溶片,阿斯利康制药有限公司,69.47,20mg,7
非洛地平缓释片,"阿斯利康制药有限公司(阿斯利康药业（中国）有限
公司受委托生产)",31.43,5mg,10
头孢克洛分散片,安徽安科恒益药业有限公司,20.15,250mg,12
头孢克洛分散片,安徽安科恒益药业有限公司,10.6,125mg,12
重组人干扰素α2b注射液,安徽安科生物工程（集团）股份有限公司,50.77,1ml,1
重组人干扰素α2b注射液,安徽安科生物工程（集团）股份有限公司,43.73,,1
注射用重组人生长激素,安徽安科生物工程（集团）股份有限公司,123.32,3.33mg,1
活血止痛膏,安徽安科余良卿药业有限公司,34.2,,60
活血止痛膏,安徽安科余良卿药业有限公司,23.83,,60
恩替卡韦分散片,安徽贝克生物制药有限公司,111.65,0.5mg,14
恩替卡韦分散片,安徽贝克生物制药有限公司,57.26,0.5mg,7
拉米夫定片,安徽贝克生物制药有限公司,84.3,100mg,14
甲硝唑葡萄糖注射液,安徽丰原药业股份有限公司,2.52,500mg,1
中/长链脂肪乳注射液（C8～24）,安徽丰原药业股份有限公司,72.45,250ml,250
复方氯化钠注射液,安徽丰原药业股份有限公司,3.75,500ml,1
甲硝唑葡萄糖注射液,安徽丰原药业股份有限公司,1.0,500mg,1
盐酸洛美沙星注射液,安徽丰原药业股份有限公司,8.43,200mg,1
甲硝唑葡萄糖注射液,安徽丰原药业股份有限公司,2.72,500mg,1
复方氯化钠注射液,安徽丰原药业股份有限公司,2.41,500ml,1
复方氯化钠注射液,安徽丰原药业股份有限公司,1.76,500ml,1
复方氨基酸注射液（18AA-Ⅶ）,安徽富邦药业有限公司,32.61,200ml,1
安康欣胶囊,安徽高山药业有限公司,127.24,0.5g,45
盐酸氨溴索葡萄糖注射液,安徽国森药业有限公司,5.07,30mg,1
多索茶碱葡萄糖注射液,安徽国森药业有限公司,18.36,100ml,1
盐酸氨溴索葡萄糖注射液,安徽国森药业有限公司,4.03,15mg,1
复合磷酸氢钾注射液,安徽恒星制药有限公司,31.12,2ml,1
骨肽注射液,安徽宏业药业有限公司,7.67,5ml,1
骨肽注射液,安徽宏业药业有限公司,2.58,2ml,1
注射用复方甘草酸苷,安徽宏业药业有限公司,10.39,40mg,1
华蟾素片,安徽华润金蟾药业股份有限公司,172.7,0.3g,20
华蟾素注射液,安徽华润金蟾药业股份有限公司,37.64,10ml,1
酒石酸托特罗定胶囊,安徽环球药业股份有限公司,26.88,2mg,12
吡拉西坦氯化钠注射液,安徽环球药业股份有限公司,6.24,8g,1
乳酸左氧氟沙星氯化钠注射液,安徽环球药业股份有限公司,1.69,200mg,1
氟康唑氯化钠注射液,安徽环球药业股份有限公司,3.83,200mg,1
厄贝沙坦片,安徽环球药业股份有限公司,34.72,75mg,36
复方氯化钠注射液,安徽环球药业股份有限公司,2.02,500ml,1
乳酸钠林格注射液,安徽环球药业股份有限公司,2.33,500ml,1
盐酸洛美沙星氯化钠注射液,安徽环球药业股份有限公司,6.57,200mg,1
盆炎净片,安徽济人药业有限公司,35.21,0.5g,60
疏风解毒胶囊,安徽济人药业有限公司,34.97,0.52g,36
胰酶肠溶胶囊,安徽金太阳生化药业有限公司,28.28,0.15g,48
复方双花颗粒,安徽精方药业股份有限公司,11.67,6g,6
新生化颗粒,安徽九方制药有限公司,6.76,6g,12
风湿骨痛片,安徽美欣制药有限公司,29.72,0.36g,48
硝酸毛果芸香碱滴眼液,安徽省双科药业有限公司,3.95,25mg,1
非诺贝特胶囊（Ⅱ）,安徽省先锋制药有限公司,15.74,0.2g,10
注射用赖氨匹林,安徽省先锋制药有限公司,2.94,0.9g,1
非诺贝特胶囊（Ⅱ）,安徽省先锋制药有限公司,30.69,0.2g,20
注射用奥美拉唑钠,安徽省先锋制药有限公司,8.31,40mg,1
茴三硫片,安徽省先锋制药有限公司,6.39,25mg,12
注射用果糖二磷酸钠,安徽省先锋制药有限公司,22.04,7.5g,1
注射用果糖二磷酸钠,安徽省先锋制药有限公司,26.08,10g,1
注射用头孢米诺钠,安徽省先锋制药有限公司,7.02,0.5g,1
氟康唑氯化钠注射液,安徽双鹤药业有限责任公司,4.3,200mg,1
氟康唑氯化钠注射液,安徽双鹤药业有限责任公司,2.82,200mg,1
乳酸左氧氟沙星氯化钠注射液,安徽双鹤药业有限责任公司,2.05,300mg,1
氟罗沙星葡萄糖注射液,安徽双鹤药业有限责任公司,8.11,200mg,1
盐酸川芎嗪葡萄糖注射液,安徽双鹤药业有限责任公司,4.52,100ml,1
复方氯化钠注射液,安徽双鹤药业有限责任公司,1.59,500ml,1
盐酸氨溴索葡萄糖注射液,安徽双鹤药业有限责任公司,3.38,15mg,1
果糖注射液,安徽双鹤药业有限责任公司,34.03,250ml,1
乳酸钠林格注射液,安徽双鹤药业有限责任公司,2.13,500ml,1
果糖注射液,安徽双鹤药业有限责任公司,37.81,500ml,1
盐酸氨溴索葡萄糖注射液,安徽双鹤药业有限责任公司,4.61,30mg,1
果糖氯化钠注射液,安徽双鹤药业有限责任公司,22.47,250ml,1
果糖注射液,安徽双鹤药业有限责任公司,40.37,500ml,1
果糖注射液,安徽双鹤药业有限责任公司,22.85,250ml,1
果糖注射液,安徽双鹤药业有限责任公司,66.78,500ml,1
复方氯化钠注射液,安徽双鹤药业有限责任公司,2.12,500ml,1
盐酸格拉司琼氯化钠注射液,安徽双鹤药业有限责任公司,16.98,50ml,1
丹参滴注液,安徽天洋药业有限公司,10.28,16g,1
甲磺酸罗哌卡因注射液,安徽威尔曼制药有限公司,15.92,10ml,1
甲磺酸罗哌卡因注射液,安徽威尔曼制药有限公司,20.14,10ml,1
注射用果糖二磷酸钠,安徽威尔曼制药有限公司,13.63,5g,1
注射用果糖二磷酸钠,安徽威尔曼制药有限公司,18.83,10g,1
注射用氨曲南,安徽威尔曼制药有限公司,22.47,1.0g,1
注射用头孢噻肟钠,安徽威尔曼制药有限公司,22.59,4g,1
注射用长春西汀,安徽威尔曼制药有限公司,6.43,10mg,1
注射用盐酸大观霉素,安徽威尔曼制药有限公司,16.63,2.0g,1
甲磺酸罗哌卡因氯化钠注射液,安徽威尔曼制药有限公司,45.08,100ml,1
注射用头孢哌酮钠舒巴坦钠,安徽威尔曼制药有限公司,3.4,0.5g,1
注射用卡络磺钠,安徽威尔曼制药有限公司,9.61,40mg,1
注射用盐酸丁卡因,安徽威尔曼制药有限公司,8.69,50mg,1
注射用头孢哌酮钠舒巴坦钠,安徽威尔曼制药有限公司,8.32,1.5g,1
注射用头孢噻肟钠,安徽威尔曼制药有限公司,4.85,0.5g,1
注射用头孢噻肟钠,安徽威尔曼制药有限公司,18.64,3g,1
注射用头孢噻肟钠,安徽威尔曼制药有限公司,8.23,1g,1
注射用头孢噻肟钠,安徽威尔曼制药有限公司,13.66,2g,1
注射用水溶性维生素,安徽威尔曼制药有限公司,6.87,,1
克拉霉素分散片,安康北医大制药股份有限公司,7.41,250mg,6
心血宁片,鞍山制药有限公司,30.06,0.21g,54
上清片,鞍山制药有限公司,38.85,0.3g,36
接骨七厘散,鞍山制药有限公司,58.45,1.5g,20
接骨七厘散,鞍山制药有限公司,17.54,1.5g,6
上清片,"鞍山制药有限公司(辽宁康泰药业有限公司受委托生
产)",23.68,0.3g,24
重组人促红素注射液（CHO细胞）,昂德生物药业有限公司,25.18,1ml,1
重组人促红素注射液（CHO细胞）,昂德生物药业有限公司,18.46,1ml,1
重组人促红素注射液（CHO细胞）,昂德生物药业有限公司,104.86,1ml,1
重组人促红素注射液（CHO细胞）,昂德生物药业有限公司,34.89,1ml,1
复方克霉唑乳膏（Ⅱ）,澳美制药厂,13.32,20g,1
氨酚双氢可待因片,澳美制药厂,22.1,0.5g,20
卡泊三醇软膏,澳美制药厂,31.58,10g,1
尼群地平软胶囊,澳诺(青岛)制药有限公司,43.75,10mg,60
尼群地平软胶囊,澳诺(青岛)制药有限公司,18.1,10mg,24
尼群地平软胶囊,澳诺(青岛)制药有限公司,35.29,10mg,48
羧甲司坦口服溶液,白云山汤阴东泰药业有限责任公司,15.26,10ml,1
羧甲司坦口服溶液,白云山汤阴东泰药业有限责任公司,22.88,10ml,1
灭菌注射用水,百正药业股份有限公司,0.12,5ml,1
糠酸莫米松乳膏,拜耳医药（上海）有限公司,20.16,10g,1
硝苯地平控释片,拜耳医药保健有限公司,28.84,30mg,7
阿卡波糖片,拜耳医药保健有限公司,64.45,50mg,30
注射用赖氨匹林,蚌埠丰原涂山制药有限公司,2.14,0.5g,1
肾复康胶囊,蚌埠丰原涂山制药有限公司,13.08,0.3g,48
萘哌地尔片,蚌埠丰原涂山制药有限公司,15.24,25mg,10
乳酸环丙沙星氯化钠注射液,蚌埠丰原涂山制药有限公司,1.16,200mg,1
注射用赖氨匹林,蚌埠丰原涂山制药有限公司,1.23,0.25g,1
乳酸左氧氟沙星氯化钠注射液,蚌埠丰原涂山制药有限公司,1.33,200mg,1
注射用赖氨匹林,蚌埠丰原涂山制药有限公司,3.3,0.9g,1
甲磺酸二氢麦角碱缓释片,宝利化（南京）制药有限公司,45.82,2.5mg,25
甲紫溶液,保定市金钟制药有限公司,0.45,20ml,20
前列舒通胶囊,保定天浩制药有限公司,44.2,0.4g,36
盐酸特比萘芬片,保定天浩制药有限公司,51.82,125mg,14
盐酸特比萘芬片,保定天浩制药有限公司,22.91,125mg,6
羟乙基淀粉130/0.4氯化钠注射液,北大医药股份有限公司,31.32,250ml,1
注射用美罗培南,北大医药股份有限公司,73.59,0.5g,1
注射用头孢唑肟钠,北大医药股份有限公司,15.55,0.5g,1
盐酸丁螺环酮片,北大医药股份有限公司,21.35,5mg,30
羟乙基淀粉130/0.4氯化钠注射液,北大医药股份有限公司,51.78,500ml,1
注射用美罗培南,北大医药股份有限公司,42.93,0.25g,1
盐酸丁螺环酮片,北大医药股份有限公司,28.17,5mg,40
米力农注射液,北大医药股份有限公司,79.63,5ml,1
盐酸丁螺环酮片,北大医药股份有限公司,14.45,5mg,20
注射用头孢唑肟钠,北大医药股份有限公司,26.43,1.0g,1
盐酸昂丹司琼注射液,北大医药股份有限公司,9.36,4mg,1
盐酸格拉司琼注射液,北大医药股份有限公司,15.82,3ml,1
盐酸昂丹司琼片,北大医药股份有限公司,109.5,4mg,10
盐酸昂丹司琼注射液,北大医药股份有限公司,16.3,8mg,1
氧化锌软膏,北海阳光药业有限公司,3.13,20g,1
蚓激酶肠溶胶囊,北京百奥药业有限责任公司,43.11,,30
蚓激酶肠溶胶囊,北京百奥药业有限责任公司,17.83,,12
碘海醇注射液,北京北陆药业股份有限公司,186.6,100ml,1
碘海醇注射液,北京北陆药业股份有限公司,113.13,50ml,1
瑞格列奈片,北京北陆药业股份有限公司,16.9,0.5mg,30
碘克沙醇注射液,北京北陆药业股份有限公司,358.39,50ml,1
瑞格列奈片,北京北陆药业股份有限公司,32.95,0.5mg,60
钆喷酸葡胺注射液,北京北陆药业股份有限公司,121.05,20ml,1
伏立康唑片,北京博康健基因科技有限公司,402.62,50mg,10
羧甲司坦口服溶液（含糖型）,北京诚济制药股份有限公司,20.86,10ml,1
胰酶肠溶片,北京第一生物化学药业有限公司,20.81,0.3g,24
多西他  注射液,北京东方协和医药生物技术有限公司,185.75,20mg,1
复方α-酮酸片,北京费森尤斯卡比医药有限公司,156.13,630mg,60
复方α-酮酸片,北京费森尤斯卡比医药有限公司,253.99,630mg,100
丙泊酚注射液,北京费森尤斯卡比医药有限公司,57.13,500mg,1
丙泊酚注射液,北京费森尤斯卡比医药有限公司,28.55,200mg,1
枯草杆菌二联活菌肠溶胶囊,北京韩美药品有限公司,32.49,0.25g,30
枯草杆菌二联活菌肠溶胶囊,北京韩美药品有限公司,21.98,0.25g,20
布洛芬混悬液,北京韩美药品有限公司,6.57,2g,1
银杏酮酯滴丸,北京汉典制药有限公司,44.34,44mg,100
银杏酮酯滴丸,北京汉典制药有限公司,26.6,44mg,60
苯磺酸氨氯地平片,北京红林制药有限公司,4.48,5mg,28
硝苯地平缓释片(Ⅲ),北京红林制药有限公司,30.62,30mg,14
兰索拉唑肠溶胶囊,北京红林制药有限公司,63.45,15mg,28
兰索拉唑肠溶胶囊,北京红林制药有限公司,45.88,15mg,20
硝苯地平缓释片（Ⅲ）,北京红林制药有限公司,65.88,30mg,30
苯磺酸氨氯地平片,北京红林制药有限公司,5.52,5mg,21
苯磺酸氨氯地平片,北京红林制药有限公司,1.91,5mg,7
硝苯地平缓释片（Ⅲ）,北京红林制药有限公司,22.86,30mg,10
兰索拉唑肠溶胶囊,北京红林制药有限公司,24.29,15mg,10
硝苯地平缓释片（Ⅲ）,北京红林制药有限公司,16.21,30mg,7
苯磺酸氨氯地平片,北京红林制药有限公司,3.73,5mg,14
兰索拉唑肠溶胶囊,北京红林制药有限公司,27.89,30mg,7
兰索拉唑肠溶胶囊,北京红林制药有限公司,54.39,30mg,14
兰索拉唑肠溶胶囊,北京红林制药有限公司,106.05,30mg,28
兰索拉唑肠溶胶囊,北京红林制药有限公司,16.69,15mg,7
兰索拉唑肠溶胶囊,北京红林制药有限公司,76.69,30mg,20
果糖二磷酸钠注射液,北京华靳制药有限公司,84.15,100ml,1
果糖二磷酸钠注射液,北京华靳制药有限公司,48.7,50ml,1
消痔灵注射液,北京华润高科天然药物有限公司,2.17,10ml,1
舒血宁注射液,北京华润高科天然药物有限公司,7.16,2ml,1
舒血宁注射液,北京华润高科天然药物有限公司,15.83,5ml,1
甲磺酸托烷司琼注射液,北京华素制药股份有限公司,72.75,2ml,1
紫杉醇注射液,"北京华素制药股份有限公司(青岛金峰制药有限公司
受委托生产)",162.02,30mg,1
羟基脲片,北京嘉林药业股份有限公司,51.1,500mg,100
单硝酸异山梨酯片,北京京丰制药集团有限公司,6.71,20mg,48
铝碳酸镁咀嚼片,北京京丰制药集团有限公司,7.53,0.5g,20
羟苯磺酸钙胶囊,北京京丰制药集团有限公司,32.94,0.5g,20
创灼膏,北京九发药业有限公司,32.11,35g,1
桉柠蒎肠溶软胶囊,北京九和药业有限公司,31.13,0.12g,18
桉柠蒎肠溶软胶囊,北京九和药业有限公司,34.23,0.3g,18
重组人干扰素α2b注射液,北京凯因科技股份有限公司,47.74,0.5ml,1
盐酸纳洛酮注射液,北京凯因科技股份有限公司,11.94,1ml,1
复方甘草酸苷胶囊,北京凯因科技股份有限公司,45.22,,40
复方甘草酸苷片,北京凯因科技股份有限公司,39.64,,40
重组人干扰素α2b注射液,北京凯因科技股份有限公司,55.69,0.6ml,1
注射用奥扎格雷钠,北京凯因科技股份有限公司,13.12,80mg,1
盐酸纳洛酮注射液,北京凯因科技股份有限公司,20.6,2ml,1
盐酸纳洛酮注射液,北京凯因科技股份有限公司,35.75,10ml,1
复方甘草酸苷片,北京凯因科技股份有限公司,95.84,,100
重组人干扰素α2b注射液,北京凯因科技股份有限公司,32.08,0.3ml,1
盐酸氨基葡萄糖胶囊,北京康必得药业有限公司,24.41,240mg,24
盐酸氨基葡萄糖胶囊,北京康必得药业有限公司,41.85,240mg,42
奥美拉唑钠肠溶片,北京康蒂尼药业有限公司,15.77,20mg,16
碳酸钙D3颗粒,北京康远制药有限公司,22.96,3g,6
硝呋太尔制霉素阴道软胶囊,北京朗依制药有限公司,34.41,0.5g,6
慢肝养阴片,北京麦迪海药业有限责任公司,50.06,0.4g,60
氟伐他汀钠胶囊,北京诺华制药有限公司,25.72,40mg,7
盐酸特比萘芬片,北京诺华制药有限公司,87.5,250mg,7
缬沙坦胶囊,北京诺华制药有限公司,36.18,80mg,7
那格列奈片,北京诺华制药有限公司,28.78,120mg,12
注射用奥扎格雷钠,北京  升药业股份有限公司,17.29,80mg,1
