Name,Firm,Price,Volume,Count
肠内营养混悬液（TPF-FOS）,"ABBOTT LABORATORIES B.V.（ABBOTT LABORATORIES
B.V.）",49.49,500ml,1
肠内营养混悬液（TPF-D）,"ABBOTT LABORATORIES B.V.（ABBOTT LABORATORIES
B.V.）",86.74,500ml,1
肠内营养粉剂（TP）,"ABBOTT LABORATORIES B.V.（ABBOTT LABORATORIES
B.V.）",57.92,400g,1
非诺贝特片(Ⅲ),"Abbott Laboratories（Singapore）Private
Limited（RECIPHARM FONTAINE）",40.54,160mg,10
阿维A胶囊,Actavis Group PTC ehf.（Patheon Inc.）,375.31,10mg,30
氟他胺片,ACTAVIS S.R.L.(S.C.SINDAN-PHARMA S.R.L.),149.19,250mg,30
氟他胺片,ACTAVIS S.R.L.(S.C.SINDAN-PHARMA S.R.L.),429.97,250mg,90
富马酸依美斯汀滴眼液,"Alcon Laboratories (UK) Ltd.(s.a.ALCON-
COUVREUR n.v)",30.18,5ml,1
聚乙二醇滴眼液,"Alcon Laboratories, Inc.（Alcon Laboratories,
Inc.）",33.31,5ml,1
羟糖甘滴眼液,"Alcon Laboratories, Inc.（Alcon Laboratories,
Inc.）",23.5,5ml,1
那他霉素滴眼液,"Alcon Laboratories, Inc.（Alcon Laboratories,
Inc.）",678.3,15ml,1
酒石酸溴莫尼定滴眼液,"Alcon Laboratories, Inc.（Alcon Laboratories,
Inc.）",48.08,5ml,1
注射用头孢他啶,"Antibióticos do Brasil Ltda.(Antibióticos do
Brasil Ltda.)",29.83,1.0g,1
他克莫司胶囊,"Astellas Ireland Co., Ltd(安斯泰来制药（中
国）有限公司分装）",628.52,0.5mg,50
头孢地尼胶囊,"Astellas Pharma Tech Co.,Ltd. Takaoka
Plant(广州白云山光华制药股份有限公司分包装)",52.86,100mg,6
头孢地尼胶囊,"Astellas Pharma Tech Co.,Ltd. Takaoka
Plant(广州白云山光华制药股份有限公司分包装)",86.47,100mg,10
注射用米卡芬净钠,"Astellas Toyama Co., Ltd. Takaoka Plant(安斯
泰来制药(中国)有限公司分包装)",505.17,50mg,1
丙泊酚注射液,AstraZeneca UK Limited(Corden Pharma S.P.A.),296.18,50ml,1
羟乙基淀粉130/0.4氯化钠注射液,b.braun medical ag(瑞士贝朗医疗股份公司),70.13,30g,1
丙泊酚中/长链脂肪乳注射液,B.Braun Melsungen AG（B.Braun Melsungen AG）,81.18,20ml,1
依托咪酯乳状注射液,B.Braun Melsungen AG（B.Braun Melsungen AG）,40.09,10ml,1
丙泊酚中/长链脂肪乳注射液,B.Braun Melsungen AG（B.Braun Melsungen AG）,168.2,50ml,1
丙泊酚中/长链脂肪乳注射液,B.Braun Melsungen AG（B.Braun Melsungen AG）,81.18,20ml,1
利伐沙班片,Bayer Pharma AG,342.33,10mg,5
盐酸莫西沙星氯化钠注射液,"Bayer Pharma AG(拜耳医药保健有限公司广州分公
司分包装)",246.96,400mg,1
雌二醇凝胶,"BESINS HEALTHCARE BENELUX(Besins
Manufacturing Belgium)",56.91,30g,1
吸入用异丙托溴铵溶液,"Boehringer Ingelheim Pharma GmbH & Co.
KG(Laboratoire Unither)",46.39,2ml,1
噻托溴铵粉吸入剂,Boehringer Ingelheim Pharma GmbH & Co.KG,132.75,,10
噻托溴铵粉吸入剂,Boehringer Ingelheim Pharma GmbH & Co.KG,138.55,,10
