Name,Firm,Price,Volume,Count
阿仑膦酸钠片,山东海山药业有限公司,17.6,10mg,6
阿仑膦酸钠片,石药集团欧意药业有限公司,21.51,10mg,6
阿仑膦酸钠片,石药集团欧意药业有限公司,20.02,70mg,1
阿仑膦酸钠片,万特制药（海南）有限公司,30.29,70mg,2
阿仑膦酸钠片,万特制药（海南）有限公司,59.06,70mg,4
阿仑膦酸钠片,扬子江药业集团上海海尼药业有限公司,23.83,10mg,7
阿仑膦酸钠片,涿州东乐制药有限公司,50.25,70mg,4
阿仑膦酸钠片,涿州东乐制药有限公司,25.77,70mg,2
盐酸阿罗洛尔片,"Sumitomo Dainippon Pharma Co.,Ltd. Ibaraki Plant(住友制药(苏州)有限公司分装)",34.78,10mg,10
盐酸阿莫罗芬乳膏,GALDERMA LABORATORIUM GmbH（Laboratoires GALDERMA）,13.65,5g,1
盐酸阿莫罗芬乳膏,GALDERMA LABORATORIUM GmbH（Laboratoires GALDERMA）,34.61,20g,1
盐酸阿莫罗芬乳膏,江苏福邦药业有限公司,23.35,10g,1
盐酸阿莫罗芬乳膏,江苏福邦药业有限公司,33.92,15g,1
盐酸阿莫罗芬乳膏,江苏福邦药业有限公司,44.26,20g,1
盐酸阿普林定片,天津市中央药业有限公司,10.54,25mg,20
注射用苯磺酸阿曲库铵,上海恒瑞医药有限公司,15.77,25mg,1
阿司匹林泡腾片,阿斯利康制药有限公司,4.15,0.5g,10
阿司匹林泡腾片,阿斯利康制药有限公司,5.2,0.1g,20
注射用阿替普酶,Boehringer Ingelheim Pharma GmbH & Co.KG,5522.48,50mg,1
注射用阿替普酶,Boehringer Ingelheim Pharma GmbH & Co.KG,2405,20mg,1
阿托伐他汀钙分散片,广东百科制药有限公司,31.51,10mg,7
阿托伐他汀钙分散片,广东百科制药有限公司,44.43,10mg,10
阿托伐他汀钙片,Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）,58.2,20mg,10
阿托伐他汀钙片,Lek Pharmaceuticals d.d（山德士（中国）制药有限公司分装）,101.04,40mg,10
阿托伐他汀钙片,北京嘉林药业股份有限公司,27.13,10mg,7
阿托伐他汀钙片,浙江新东港药业股份有限公司,38.22,10mg,10
阿托伐他汀钙片,浙江新东港药业股份有限公司,27.11,10mg,7
阿托伐他汀钙片,浙江新东港药业股份有限公司,52.83,10mg,14
阿维A胶囊,Actavis Group PTC ehf.（Patheon Inc.）,402.61,10mg,30
阿维A胶囊,重庆华邦制药有限公司,44.6,10mg,30
阿西美辛缓释胶囊,MEDA Manufacturing GmbH(MEDA Manufacturing GmbH),32.86,90mg,10
阿昔莫司分散片,鲁南贝特制药有限公司,86.4,0.25g,24
阿昔莫司胶囊,Pfizer Italia s.r.l (Pfizer Italia s.r.l),118.21,0.25g,30
阿昔莫司胶囊,地奥集团成都药业股份有限公司,62.26,0.25g,24
阿昔莫司胶囊,鲁南贝特制药有限公司,66.99,0.25g,24
阿昔莫司胶囊,四川克旨达制药有限公司,42.12,0.25g,16
埃索美拉唑肠溶胶囊,重庆莱美药业股份有限公司,73.91,20mg,7
埃索美拉唑镁肠溶片,阿斯利康制药有限公司,75.55,20mg,7
埃索美拉唑镁肠溶片,阿斯利康制药有限公司,106.5,40mg,7
注射用埃索美拉唑钠,阿斯利康制药有限公司,119.66,40mg,1
艾迪注射液,贵州益佰制药股份有限公司,29.39,10ml,1
盐酸艾司洛尔注射液,海南灵康制药有限公司,36.69,0.1g,1
盐酸艾司洛尔注射液,海南灵康制药有限公司,61.91,0.2g,1
盐酸艾司洛尔注射液,济南利民制药有限责任公司,41.18,0.1g,1
盐酸艾司洛尔注射液,齐鲁制药有限公司,44.92,0.1g,1
盐酸艾司洛尔注射液,齐鲁制药有限公司,81.57,0.2g,1
注射用盐酸艾司洛尔,哈尔滨三联药业股份有限公司,42.25,100mg,1
草酸艾司西酞普兰片,丹麦H. Lundbeck A/S（西安杨森制药有限公司分装）,101.74,10mg,7
草酸艾司西酞普兰片,丹麦H. Lundbeck A/S（西安杨森制药有限公司分装）,172.96,20mg,7
草酸艾司西酞普兰片,吉林省西点药业科技发展股份有限公司,64.55,5mg,14
草酸艾司西酞普兰片,吉林省西点药业科技发展股份有限公司,56.19,10mg,7
草酸艾司西酞普兰片,山东京卫制药有限公司,109.57,10mg,14
草酸艾司西酞普兰片,山东京卫制药有限公司,56.19,10mg,7
草酸艾司西酞普兰片,山东京卫制药有限公司,64.55,5mg,14
草酸艾司西酞普兰片,山东京卫制药有限公司,95.43,5mg,21
草酸艾司西酞普兰片,四川科伦药业股份有限公司,56.43,10mg,7
草酸艾司西酞普兰片,四川科伦药业股份有限公司,79.56,10mg,10
草酸艾司西酞普兰片,四川科伦药业股份有限公司,32.87,10mg,4
草酸艾司西酞普兰片,浙江金华康恩贝生物制药有限公司,64.55,5mg,14
草酸艾司西酞普兰片,浙江金华康恩贝生物制药有限公司,109.57,10mg,14
草酸艾司西酞普兰片,浙江金华康恩贝生物制药有限公司,108.5,5mg,24
草酸艾司西酞普兰片,浙江金华康恩贝生物制药有限公司,56.19,10mg,7
爱普列特片,江苏联环药业股份有限公司,30.97,5mg,10
安多霖胶囊,福建众安药业有限公司,81.8,0.32g,24
安多霖胶囊,福建众安药业有限公司,121,0.32g,36
安宫降压丸,北京同仁堂股份有限公司同仁堂制药厂,56.29,32g,1
安宫牛黄胶囊,河北安国药业集团有限公司,99.57,0.4g,6
安宫牛黄丸,杭州胡庆余堂药业有限公司,102.5,3g,1
安宫牛黄丸,吉林省通化博祥药业股份有限公司,43,3g,1
安宫牛黄丸,江西药都樟树制药有限公司,64.76,3g,1
安宫牛黄丸,同药集团大同制药有限公司,43,3g,1
安宫止血颗粒,山东东阿阿胶股份有限公司,25.53,4g,20
安康欣胶囊,安徽高山药业有限公司,144.89,0.5g,45
安坤颗粒,西安自力中药集团有限公司,41.22,10g,12
安坤颗粒,西安自力中药集团有限公司,20.61,10g,6
安神补脑胶囊,江西南昌桑海制药厂,17.13,0.3g,10
安神补脑胶囊,精华制药集团股份有限公司,19.91,0.28g,12
安神补脑胶囊,精华制药集团股份有限公司,39.8,0.28g,24
安神补脑胶囊,亚宝药业集团股份有限公司,39.83,0.3g,24
安神补脑颗粒,广东百科制药有限公司,23.23,1g,10
安神补脑颗粒,广东百科制药有限公司,27.87,1g,12
安神补脑颗粒,内蒙古康恩贝药业有限公司圣龙分公司,11.06,2g,6
安神补脑颗粒,内蒙古康恩贝药业有限公司圣龙分公司,22.11,2g,12
安神补心胶囊,北京诚济制药有限公司,20.16,0.5g,60
安神补心胶囊,聚协昌（北京）药业有限公司,20,0.5g,60
安神补心颗粒,深圳三顺制药有限公司,18.69,1.5g,10
安神补心片,太极集团四川绵阳制药有限公司,33.56,,1
安替可胶囊,长春远大国奥制药有限公司,88.7,0.22g,24
安胃疡胶囊,新疆全安药业有限公司,38.9,0.2g,36
注射用氨茶碱,海南葫芦娃制药有限公司,2.73,0.25g,1
氨酚待因片（Ⅱ）,国药集团工业有限公司,13,0.3g,20
氨酚待因片（Ⅱ）,汕头经济特区鮀滨制药厂,18.05,0.3g,24
氨酚美伪麻与苯酚伪麻片,宁波大红鹰药业股份有限公司,16.31,,24
氨酚美伪麻与苯酚伪麻片,宁波大红鹰药业股份有限公司,8.36,,12
氨酚美伪麻与苯酚伪麻片,宁波大红鹰药业股份有限公司,12.36,,18
氨酚那敏三味浸膏胶囊,芜湖绿叶制药有限公司,29.67,,20
氨酚那敏三味浸膏胶囊,芜湖绿叶制药有限公司,18,,12
氨酚羟考酮片,国药集团工业有限公司,47.49,325mg,10
氨酚曲马多片,北京双鹭药业股份有限公司,27.23,325mg,10
氨酚曲马多片,北京双鹭药业股份有限公司,53.1,325mg,20
氨酚曲马多片,多多药业有限公司,27.26,325mg,12
氨酚曲马多片,乐普药业股份有限公司,33.26,325mg,12
氨酚曲马多片,乐普药业股份有限公司,64.86,325mg,24
氨酚曲马多片,陕西九州制药有限责任公司,33.5,325mg,12
氨酚曲马多片,西安杨森制药有限公司,29.22,325mg,10
氨酚曲马多片,宜昌人福药业有限责任公司,27.26,325mg,12
氨酚双氢可待因片,澳美制药厂,33.04,0.5g,20
氨酚双氢可待因片,福建明龙制药有限公司,20.92,0.5g,12
氨酚双氢可待因片,福建明龙制药有限公司,40.64,0.5g,24
氨酚双氢可待因片,陕西九州制药有限责任公司,41.68,0.5g,24
氨酚双氢可待因片,威海路坦制药有限公司,42.56,0.5g,24
氨酚双氢可待因片,威海路坦制药有限公司,21.83,0.5g,12
氨酚烷胺那敏胶囊,大同市利群药业有限责任公司,15.88,201mg,20
氨酚烷胺那敏胶囊,大同市利群药业有限责任公司,23.44,201mg,30
氨酚伪麻那敏胶囊,浙江奥托康制药集团股份有限公司,13.69,0.266g,24
氨磺必利片,Sanofi Winthrop Industrie （  诺菲（杭州）制药有限公司分装）,280,200mg,20
氨磺必利片,齐鲁制药有限公司,156,200mg,20
氨磺必利片,齐鲁制药有限公司,55,50mg,20
氨基己酸注射液,上海信谊金朱药业有限公司,0.83,2g,1
