"Name","Firm","Price","Strength","Count","unit_price","Year","Area","Drug_ID","Firm_ID","is_treated","first_treat_year"
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","71.9","20ml:200mg","1",71.9,2016,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","55.0206","10ml:100mg","1",55.02,2016,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG（B.Braun Melsungen AG）","81.18","20ml","1",81.18,2017,"Shanghai",2,6,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG（B.Braun Melsungen AG）","168.2","50ml","1",168.2,2017,"Shanghai",2,6,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG（B.Braun Melsungen AG）","81.18","20ml","1",81.18,2017,"Shanghai",2,6,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH(北京费森尤斯卡比
医药有限公司分装）","299.26","50ml","1",299.26,2017,"Shanghai",2,21,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH（北京费森尤斯卡比
医药有限公司分装）","68.52","20ml","1",68.52,2017,"Shanghai",2,22,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","78.46","20ml","1",78.46,2017,"Shanghai",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","171.8158","50ml:500mg","1",171.82,2017,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","43","20ml:200mg","1",43,2017,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","52.25","10ml:100mg","1",52.25,2017,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","280","100ml:1g","1",280,2017,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","125","50ml:500mg","1",125,2017,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","70.98","20ml:200mg","1",70.98,2018,"上海",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","四川国瑞药业有限责任公司","327.44","100ml:1g","1",327.44,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","180","50ml:500mg","1",180,2018,"北京",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","81.18","20ml:200mg","1",81.18,2018,"安徽",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","282.96","50ml:1g","1",282.96,2018,"安徽",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","168.36","50ml:500mg","1",168.36,2018,"安徽",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","280","100ml:1g","1",280,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","171.82","50ml:500mg","1",171.82,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","165","50ml:500mg","1",165,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","50","10ml:100mg","1",50,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","48.8","10ml:100mg","1",48.8,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","48","20ml:200mg","1",48,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","280","100ml:1g","1",280,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","171.82","50ml:500mg","1",171.82,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","122","50ml:500mg","1",122,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","50.7","20ml:100mg","1",50.7,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","40","20ml:200mg","1",40,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","Fresenius Kabi Austria GmbH","171.8158","50ml:500mg","1",171.82,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","280","100ml:1g","1",280,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","122","50ml:500mg","1",122,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","B.Braun Melsungen AG","50.7","20ml:100mg","1",50.7,2018,"广东",2,NA,0,2021
"丙泊酚中/长链脂肪乳注射液","广东嘉博制药有限公司","40","20ml:200mg","1",40,2018,"广东",2,338,0,2021
"丙泊酚中/长链脂肪乳注射液","四川科伦药业股份有限公司","74.29","20ml:0.2g","5",14.858,2021,"云南省、广东省、江西省、海南省、湖北省、重庆市、陕西省",2,236,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","67","20ml:0.2g","5",13.4,2021,"吉林省、安徽省、山东省、河北省、湖南省、甘肃省、贵州省",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","FreseniusKabiDeutschlandGmbH（FreseniusKabiAustriaGmbH）（北京费森尤斯卡比医药有限公司分包装）","49.3","20ml:0.2g","5",9.86,2021,"上海市、内蒙古自治区、北京市、宁夏回族自治区、山西省、广西壮族自治区、浙江省、福建省、辽宁省",2,23,1,2021
"丙泊酚中/长链脂肪乳注射液","扬子江药业集团有限公司","50","20ml:0.2g","4",12.5,2021,"四川省、天津市、新疆生产建设兵团、新疆维吾尔自治区、江苏省、河南省、西藏自治区、青海省、黑龙江省",2,390,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","13.4","20ml:200mg","1",13.4,2021,"安徽",2,450,1,2021
"丙泊酚中/长链脂肪乳注射液","江苏盈科生物制药有限公司","13.4","20ml:200mg","1",13.4,2021,"安徽",2,450,1,2021
