"","StockCode","EndDate.x","EndDate.y","ShortName","RDPerson","RDSpendSum","RDSpendSumRatio","RDInvest"
"1350","000538","2020-12-31","1993-12-31","云白药A",830,181082459.62,0.55,0
"1358","000538","2022-12-31","1993-12-31","云白药A",1291,342748138.38,0.94,6024448.12
"1360","000538","2016-12-31","1993-12-31","云白药A",679,89927020.86,0.4,0
"1362","000538","2024-12-31","1993-12-31","云白药A",619,348383287.59,0.87,10969986.56
"1364","000538","2021-12-31","1993-12-31","云白药A",1106,331359703.27,0.91,0
"1408","000545","2020-12-31","2000-12-31","恒和制药",137,66613114.02,3.63,0
"1412","000545","2019-12-31","2000-12-31","恒和制药",136,63400644.24,3.36,0
"1416","000545","2023-12-31","2000-12-31","恒和制药",141,81517368.23,3.6,0
"1420","000545","2021-12-31","2000-12-31","恒和制药",164,91869663.85,3.51,0
"1424","000545","2016-12-31","2000-12-31","恒和制药",71,27154366.96,2.6,0
"1440","000545","2018-12-31","2000-12-31","恒和制药",138,62338957.26,3.36,0
"1444","000545","2017-12-31","2000-12-31","恒和制药",135,62596658.56,3.6,0
"1448","000545","2022-12-31","2000-12-31","恒和制药",171,86238141.93,3.44,0
"1532","000557","2021-12-31","2005-12-31","*ST 广夏",31,5176097.84,0.42,0
"1535","000557","2022-12-31","2005-12-31","*ST 广夏",36,11204070.25,0.63,0
"1538","000557","2023-12-31","2005-12-31","*ST 广夏",37,5973315.04,0.36,0
"1541","000557","2020-12-31","2005-12-31","*ST 广夏",13,2421309.85,0.27,0
"1625","000566","2018-12-31","2006-12-31","海南海药",199,84137482.68,3.4,64890310.21
"1630","000566","2021-12-31","2006-12-31","海南海药",162,151138214.28,7.34,80730663.91
"1655","000566","2017-12-31","2006-12-31","海南海药",126,62182098.75,3.41,30997064.52
"1660","000566","2023-12-31","2006-12-31","海南海药",133,130790360.71,8.85,75675413.74
"1665","000566","2022-12-31","2006-12-31","海南海药",125,142277016.24,8,93123208.38
"1670","000566","2019-12-31","2006-12-31","海南海药",226,209183764.43,8.55,152461670.23
"1680","000566","2020-12-31","2006-12-31","海南海药",259,238874718.46,10.86,112421929.78
"1685","000566","2016-12-31","2006-12-31","海南海药",116,61398245.67,4.07,38777808.3
"1822","000590","2019-12-31","1997-12-31","古汉集团",65,9459816.38,3,0
"1836","000590","2018-12-31","1997-12-31","古汉集团",63,7484586.21,4.03,0
"1843","000590","2021-12-31","1997-12-31","古汉集团",55,8289522.63,2.76,0
"1857","000590","2022-12-31","1997-12-31","古汉集团",72,13103555.45,3.74,0
"1864","000590","2024-12-31","1997-12-31","古汉集团",86,13165981.32,3.84,0
"1871","000590","2020-12-31","1997-12-31","古汉集团",60,9594178.5,3.49,0
"1878","000590","2017-12-31","1997-12-31","古汉集团",66,5538020.35,1.61,0
"1885","000590","2016-12-31","1997-12-31","古汉集团",69,5951210.93,1.87,0
"1906","000590","2023-12-31","1997-12-31","古汉集团",82,12819682.61,3.17,0
"1913","000591","2018-12-31","2006-12-31","S 桐君阁",491,72876654.75,1.45,0
"1916","000591","2019-12-31","2006-12-31","S 桐君阁",406,68043018.68,1.36,0
"1919","000591","2023-12-31","2006-12-31","S 桐君阁",454,273364848.46,2.87,0
"1922","000591","2022-12-31","2006-12-31","S 桐君阁",444,232715638.54,2.52,0
"1925","000591","2020-12-31","2006-12-31","S 桐君阁",418,59795545.21,1.13,0
"1928","000591","2021-12-31","2006-12-31","S 桐君阁",449,117343958.13,1.67,72736.03
"1934","000591","2017-12-31","2006-12-31","S 桐君阁",520,130819648.11,2.51,85344.58
"1937","000591","2016-12-31","2006-12-31","S 桐君阁",290,96505091.7,2.23,331964.42
"1985","000597","2016-12-31","1996-12-31","东北药",864,78692266.08,1.63,22126456.18
"1987","000597","2018-12-31","1996-12-31","东北药",877,203565812.99,2.73,90889468.98
"1991","000597","2024-12-31","1996-12-31","东北药",779,148896820.21,1.98,31132837.7
"1993","000597","2017-12-31","1996-12-31","东北药",886,123699634.24,2.18,52657360.62
"1997","000597","2021-12-31","1996-12-31","东北药",795,150936619.02,1.85,67477379.64
"2003","000597","2020-12-31","1996-12-31","东北药",866,125824717,1.7,85391750.18
"2007","000597","2023-12-31","1996-12-31","东北药",771,138446189.27,1.68,41404269.11
"2009","000597","2022-12-31","1996-12-31","东北药",758,155081164.66,1.76,29151457.1
"2011","000597","2019-12-31","1996-12-31","东北药",930,140280704.76,1.71,88513368.5
"2070","000605","2017-12-31","2007-12-31","*ST 四环",101,32249571.29,1.94,4596705.83
"2074","000605","2019-12-31","2007-12-31","*ST 四环",131,26714470.62,1.41,0
"2078","000605","2022-12-31","2007-12-31","*ST 四环",56,10391651.78,0.59,0
"2082","000605","2023-12-31","2007-12-31","*ST 四环",180,44762811.15,2.43,0
"2086","000605","2020-12-31","2007-12-31","*ST 四环",113,20196944.75,1.07,0
"2094","000605","2018-12-31","2007-12-31","*ST 四环",113,27364638.92,1.75,0
"2098","000605","2016-12-31","2007-12-31","*ST 四环",5,1415094.3,0.18,0
"2102","000605","2021-12-31","2007-12-31","*ST 四环",58,14390384,0.79,0
"2106","000606","2016-12-31","2017-12-31","神州易桥",209,68004505.93,16.51,60146171.41
"2109","000606","2019-12-31","2017-12-31","神州易桥",39,16837276.17,0.83,14983252.94
"2112","000606","2020-12-31","2017-12-31","神州易桥",44,31147315.92,4.02,27873633.96
"2115","000606","2018-12-31","2017-12-31","神州易桥",82,31927257.03,4.34,31199834.07
"2124","000606","2017-12-31","2017-12-31","神州易桥",148,72572168.9,14.07,61676890.95
"2213","000623","2022-12-31","2005-12-31","G 敖东",278,130011839.86,4.53,44340053.73
"2215","000623","2018-12-31","2005-12-31","G 敖东",242,123671942.05,3.72,35748103.76
"2219","000623","2016-12-31","2005-12-31","G 敖东",158,90556593.18,3.31,3572741.32
"2229","000623","2021-12-31","2005-12-31","G 敖东",252,117086806.37,5.08,68102309.8
"2231","000623","2023-12-31","2005-12-31","G 敖东",289,142106520.35,4.12,34731781.41
"2233","000623","2017-12-31","2005-12-31","G 敖东",178,94130909.05,3.16,3053282.83
"2235","000623","2020-12-31","2005-12-31","G 敖东",249,96766406.83,4.3,32525222.38
"2237","000623","2019-12-31","2005-12-31","G 敖东",241,162385832.56,5.26,32735643.16
"2377","000650","2016-12-31","2005-12-31","*ST 九化",251,27647630.73,0.78,0
"2382","000650","2017-12-31","2005-12-31","*ST 九化",233,27349224.4,0.71,0
"2387","000650","2018-12-31","2005-12-31","*ST 九化",228,51174137.52,1.16,12586893.2
"2397","000650","2022-12-31","2005-12-31","*ST 九化",241,51422817.77,1,10987560.38
"2402","000650","2019-12-31","2005-12-31","*ST 九化",253,47431761.33,1.04,6047169.81
"2407","000650","2020-12-31","2005-12-31","*ST 九化",269,40565181.53,0.99,433641.81
"2412","000650","2021-12-31","2005-12-31","*ST 九化",270,53036862.52,1.07,47169.81
"2417","000650","2023-12-31","2005-12-31","*ST 九化",233,46567961.08,0.93,6100749.73
"2478","000661","2016-12-31","2006-12-31","S 长高新",524,264699633.96,9.14,59649197.81
"2482","000661","2018-12-31","2006-12-31","S 长高新",523,396046209.96,7.37,67981476.19
"2488","000661","2021-12-31","2006-12-31","S 长高新",977,1092175124.24,10.16,207670532.75
"2490","000661","2023-12-31","2006-12-31","S 长高新",1329,2418810047.18,16.61,706533769.93
"2494","000661","2019-12-31","2006-12-31","S 长高新",699,406486966.76,5.51,76238993.97
"2496","000661","2020-12-31","2006-12-31","S 长高新",680,681541191.87,7.95,206935271.97
"2498","000661","2022-12-31","2006-12-31","S 长高新",1146,1662895109.96,13.17,304564735.66
"2500","000661","2017-12-31","2006-12-31","S 长高新",520,348756533.8,8.5,59335567.94
"3079","000739","2016-12-31","1997-12-31","青岛东方",435,201183968.79,4.22,0
"3083","000739","2019-12-31","1997-12-31","青岛东方",491,339827028.46,4.71,0
"3091","000739","2017-12-31","1997-12-31","青岛东方",441,242614868.58,4.37,0
"3099","000739","2023-12-31","1997-12-31","青岛东方",1205,584968431.93,5.1,0
"3103","000739","2018-12-31","1997-12-31","青岛东方",447,291705721.39,4.57,0
"3111","000739","2021-12-31","1997-12-31","青岛东方",879,479216325.2,5.36,32997237.43
"3115","000739","2024-12-31","1997-12-31","青岛东方",1156,641471760.73,5.34,0
"3119","000739","2020-12-31","1997-12-31","青岛东方",533,355279722.97,4.51,5224274.88
"3123","000739","2022-12-31","1997-12-31","青岛东方",1026,534599803.89,5.07,1680140.75
"3162","000756","2024-12-31","1997-12-31","新华制药",828,396818163.22,4.69,NA
"3163","000756","2021-12-31","1997-12-31","新华制药",732,328029328.76,5,NA
"3164","000756","2018-12-31","1997-12-31","新华制药",NA,186975801.38,NA,NA
"3167","000756","2019-12-31","1997-12-31","新华制药",NA,235401010.43,NA,NA
"3168","000756","2022-12-31","1997-12-31","新华制药",822,351602434.51,4.69,NA
