"","StockCode","ShortName","IndustryCode","IndustryName","EndDate"
"111","300009","安科生物","C27","医药制造业","2009-12-31"
"112","300016","北陆药业","C27","医药制造业","2009-12-31"
"113","300026","红日药业","C27","医药制造业","2009-12-31"
"114","300039","上海凯宝","C27","医药制造业","2010-12-31"
"115","300049","福瑞股份","C27","医药制造业","2010-12-31"
"116","300086","康芝药业","C27","医药制造业","2010-12-31"
"117","300108","双龙股份","C27","医药制造业","2015-12-31"
"118","300110","华仁药业","C27","医药制造业","2010-12-31"
"119","300111","向日葵","C27","医药制造业","2020-12-31"
"120","300119","瑞普生物","C27","医药制造业","2010-12-31"
"121","300122","智飞生物","C27","医药制造业","2010-12-31"
"122","300142","沃森生物","C27","医药制造业","2010-12-31"
"123","300143","星普医科","C27","医药制造业","2017-12-31"
"124","300147","香雪制药","C27","医药制造业","2010-12-31"
"125","300158","振东制药","C27","医药制造业","2011-12-31"
"126","300181","佐力药业","C27","医药制造业","2011-12-31"
"127","300186","大华农","C27","医药制造业","2012-12-31"
"128","300194","福安药业","C27","医药制造业","2011-12-31"
"129","300199","翰宇药业","C27","医药制造业","2011-12-31"
"130","300204","舒泰神","C27","医药制造业","2011-12-31"
"131","300233","金城医药","C27","医药制造业","2012-12-31"
"132","300239","东宝生物","C27","医药制造业","2011-12-31"
"133","300254","仟源制药","C27","医药制造业","2011-12-31"
"134","300255","常山药业","C27","医药制造业","2011-12-31"
"135","300267","尔康制药","C27","医药制造业","2011-12-31"
"136","300289","利德曼","C27","医药制造业","2012-12-31"
"137","300294","博雅生物","C27","医药制造业","2012-12-31"
"138","300357","我武生物","C27","医药制造业","2014-12-31"
"139","300363","博腾股份","C27","医药制造业","2014-12-31"
"140","300381","溢多利","C27","医药制造业","2019-12-31"
"141","300391","长药控股","C27","医药制造业","2023-12-31"
"142","300401","花园生物","C27","医药制造业","2024-12-31"
"143","300406","九强生物","C27","医药制造业","2014-12-31"
"144","300434","金石东方","C27","医药制造业","2017-12-31"
"145","300436","广生堂","C27","医药制造业","2015-12-31"
"146","300439","美康生物","C27","医药制造业","2015-12-31"
"147","300452","山河药辅","C27","医药制造业","2015-12-31"
"148","300463","迈克生物","C27","医药制造业","2015-12-31"
"149","300482","万孚生物","C27","医药制造业","2015-12-31"
"150","300485","赛升药业","C27","医药制造业","2015-12-31"
"151","300497","富祥股份","C27","医药制造业","2015-12-31"
"152","300501","海顺新材","C27","医药制造业","2016-12-31"
"153","300519","新光药业","C27","医药制造业","2016-12-31"
