"Firm_ID","Firm","Year"
NA,"西安杨森制药有限公司",2016
268,"天津药物研究院药业有限责任公司",2016
42,"Novartis （Bangladesh） Limited （Novartis
（Bangladesh） Limited）",2017
153,"北京天衡药物研究院南阳天衡制药厂",2017
331,"常州四药制药有限公司",2017
443,"江苏恩华药业股份有限公司",2017
712,"齐鲁制药有限公司",2017
268,"天津药物研究院药业有限责任公司",2017
499,"浙江华海药业股份有限公司",2017
NA,"西安杨森制药有限公司",2017
499,"浙江华海药业股份有限公司",2018
NA,"西安杨森制药有限公司",2018
331,"常州四药制药有限公司",2018
712,"齐鲁制药有限公司",2018
NA,"Novartis (Bangladesh) Limited",2018
153,"北京天衡药物研究院南阳天衡制药厂",2018
331,"常州四药制药有限公司",2019
499,"浙江华海药业股份有限公司",2019
712,"齐鲁制药有限公司",2019
499,"浙江华海药业股份有限公司",2020
707,"鲁南贝特制药有限公司",2015
176,"华润双鹤药业股份有限公司",2015
315,"山德士（中国）制药有限公司",2015
120,"乐普药业股份有限公司",2016
478,"河北医科大学制药厂",2016
707,"鲁南贝特制药有限公司",2016
314,"山东齐都药业有限公司",2016
NA,"Sun Pharmaceutical Industries Ltd.",2016
NA,"乐声药业石家庄有限公司",2016
176,"华润双鹤药业股份有限公司",2016
297,"山东力诺制药有限公司",2016
694,"阿斯利康制药有限公司",2016
NA,"昆明众康制药有限公司",2016
191,"南京臣功制药股份有限公司",2016
NA,"瑞华(中山)制药有限公司",2016
NA,"上海世康特制药有限公司",2016
91,"上海新亚药业闵行有限公司",2016
NA,"亚宝药业太原制药有限公司",2016
120,"乐普药业股份有限公司",2017
707,"鲁南贝特制药有限公司",2017
297,"山东力诺制药有限公司",2017
314,"山东齐都药业有限公司",2017
71,"上海信谊万象药业股份有限公司",2017
199,"印度太阳药业有限公司",2017
NA,"瑞华(中山)制药有限公司",2017
91,"上海新亚药业闵行有限公司",2017
NA,"亚宝药业太原制药有限公司",2017
NA,"上海世康特制药有限公司",2018
694,"阿斯利康制药有限公司",2018
NA,"乐声药业石家庄有限公司",2018
707,"鲁南贝特制药有限公司",2018
NA,"瑞华(中山)制药有限公司",2018
NA,"亚宝药业太原制药有限公司",2018
191,"南京臣功制药股份有限公司",2018
176,"华润双鹤药业股份有限公司",2018
707,"鲁南贝特制药有限公司",2019
707,"鲁南贝特制药有限公司",2020
120,"乐普药业股份有限公司",2021
707,"鲁南贝特制药有限公司",2021
102,"上海罗氏制药有限公司",2015
413,"正大天晴药业集团股份有限公司",2016
102,"上海罗氏制药有限公司",2016
413,"正大天晴药业集团股份有限公司",2017
102,"上海罗氏制药有限公司",2017
102,"上海罗氏制药有限公司",2018
413,"正大天晴药业集团股份有限公司",2018
413,"正大天晴药业集团股份有限公司",2019
102,"上海罗氏制药有限公司",2019
442,"江苏恒瑞医药股份有限公司",2019
442,"江苏恒瑞医药股份有限公司",2020
570,"深圳市海滨制药有限公司",2015
519,"浙江海正药业股份有限公司",2015
662,"赛诺菲（杭州）制药有限公司",2015
562,"海正辉瑞制药有限公司",2016
134,"修正药业集团股份有限公司",2016
661,"赛诺菲(杭州)制药有限公司",2016
604,"瀚晖制药有限公司",2016
288,"安徽环球药业股份有限公司",2016
192,"南京长澳制药有限公司",2016
570,"深圳市海滨制药有限公司",2016
NA,"扬子江药业集团江苏紫龙药业有限公司",2016
288,"安徽环球药业股份有限公司",2017
562,"海正辉瑞制药有限公司",2017
655,"诺菲(杭州)制药有限公司",2017
570,"深圳市海滨制药有限公司",2017
134,"修正药业集团股份有限公司",2017
386,"扬子江药业集团北京海燕药业有限公司",2017
604,"瀚晖制药有限公司",2017
NA,"扬子江药业集团江苏紫龙药业有限公司",2017
